,defBodySigStrikeAccuracy,defBodySigStrikeAttemped,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttemped,defClinchSigStrikeSuccessful,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttemped,defDistanceSigStrikeSuccessful,defGroundSigStrikeAccuracy,defGroundSigStrikeAttemped,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttemped,defHeadSigStrikeSuccessful,defKnockdowns,defLegSigStrikeAccuracy,defLegSigStrikeAttemped,defLegSigStrikeSuccessful,defPassSuccessful,defReversalSuccessful,defSubmissionAttempted,defTakedownAttempted,defTakedownSuccessful,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,offBodySigStrikeAccuracy,offBodySigStrikeAttemped,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttemped,offClinchSigStrikeSuccessful,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttemped,offDistanceSigStrikeSuccessful,offGroundSigStrikeAccuracy,offGroundSigStrikeAttemped,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttemped,offHeadSigStrikeSuccessful,offKnockdowns,offLegSigStrikeAccuracy,offLegSigStrikeAttemped,offLegSigStrikeSuccessful,offPassSuccessful,offReversalSuccessful,offSubmissionAttempted,offTakedownAttempted,offTakedownSuccessful,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,score
b389fe53-b7c3-4fc4-842a-3b35b3ed0ade,1.0,1.0,1.0,0.0,0.0,0.0,0.25,4.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.2,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,1.0,4.0,4.0,0,0.0,0.0,0.0,0,0,1,4,2,0.9583333333333334,24,23,3.0
5b73967d-60b2-4d6a-90c7-56ffaf94c485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7692307692307693,13.0,10.0,0.7142857142857143,14.0,10.0,0,0.0,0.0,0.0,2,0,0,1,1,0.9272727272727272,55,51,6.0
f97a6bbc-0a4f-4f1b-a7d0-5cd0f1ed4fb1,0.5,2.0,1.0,0.0,0.0,0.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.8,5,4,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,3.0,1.0,0.5833333333333334,12.0,7.0,0.5,14.0,7.0,0,0.0,0.0,0.0,5,0,1,1,1,0.7297297297297297,37,27,6.0
dc3355d2-6668-4a3a-a5e1-523d31857a97,0.25,4.0,1.0,0.0,0.0,0.0,0.23809523809523808,21.0,5.0,0.5384615384615384,13.0,7.0,0.3793103448275862,29.0,11.0,0,0.0,1.0,0.0,0,1,0,0,0,0.3888888888888889,36,14,1.0,1.0,1.0,0.0,0.0,0.0,0.35714285714285715,14.0,5.0,1.0,10.0,10.0,0.5714285714285714,21.0,12.0,0,1.0,2.0,2.0,2,0,0,2,1,0.6756756756756757,37,25,1.0
3585fcae-540c-4ab2-940b-5707b65ecf80,0.5714285714285714,7.0,4.0,1.0,2.0,2.0,0.3548387096774194,31.0,11.0,0.0,1.0,0.0,0.3333333333333333,27.0,9.0,1,0.0,0.0,0.0,0,0,0,0,0,0.4878048780487805,41,20,0.75,4.0,3.0,1.0,4.0,4.0,0.16,25.0,4.0,0.5,4.0,2.0,0.2413793103448276,29.0,7.0,0,0.0,0.0,0.0,2,0,0,9,3,0.3611111111111111,36,13,1.0
3b77f41e-f5a3-4e19-b255-d3903c4891be,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,3.0,2.0,0.6363636363636364,11.0,7.0,0.6153846153846154,13.0,8.0,0,0.0,0.0,0.0,1,0,0,1,1,0.8372093023255814,43,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,6.0,5.0,0.8333333333333334,6.0,5.0,0,0.0,0.0,0.0,0,1,0,0,0,0.8823529411764706,17,15,-4.0
f3a43fa9-61ea-499f-a020-422f7ed90153,1.0,1.0,1.0,0.0,0.0,0.0,0.35714285714285715,14.0,5.0,1.0,10.0,10.0,0.5714285714285714,21.0,12.0,0,1.0,2.0,2.0,2,0,0,2,1,0.6756756756756757,37,25,0.25,4.0,1.0,0.0,0.0,0.0,0.23809523809523808,21.0,5.0,0.5384615384615384,13.0,7.0,0.3793103448275862,29.0,11.0,0,0.0,1.0,0.0,0,1,0,0,0,0.3888888888888889,36,14,-1.0
ffb4772b-dfe2-4ac7-ade0-7ab966705913,0.75,4.0,3.0,1.0,4.0,4.0,0.16,25.0,4.0,0.5,4.0,2.0,0.2413793103448276,29.0,7.0,0,0.0,0.0,0.0,2,0,0,9,3,0.3611111111111111,36,13,0.5714285714285714,7.0,4.0,1.0,2.0,2.0,0.3548387096774194,31.0,11.0,0.0,1.0,0.0,0.3333333333333333,27.0,9.0,1,0.0,0.0,0.0,0,0,0,0,0,0.4878048780487805,41,20,-1.0
53ce21ce-e6e4-4a3d-975a-8640500b6265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,6.0,5.0,0.8333333333333334,6.0,5.0,0,0.0,0.0,0.0,0,1,0,0,0,0.8823529411764706,17,15,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,3.0,2.0,0.6363636363636364,11.0,7.0,0.6153846153846154,13.0,8.0,0,0.0,0.0,0.0,1,0,0,1,1,0.8372093023255814,43,36,4.0
ada62592-69cd-47c0-ba01-f1de03827173,0.7142857142857143,7.0,5.0,0.0,0.0,0.0,0.3829787234042553,47.0,18.0,0.0,0.0,0.0,0.19230769230769232,26.0,5.0,1,0.5714285714285714,14.0,8.0,0,0,0,1,0,0.3829787234042553,47,18,0.2222222222222222,9.0,2.0,0.0,0.0,0.0,0.22641509433962265,53.0,12.0,0.5,4.0,2.0,0.20454545454545456,44.0,9.0,0,0.75,4.0,3.0,0,0,0,0,0,0.24561403508771928,57,14,-3.0
a748e7a2-681a-41b4-bfd9-d0b22ce50000,0.5,4.0,2.0,0.0,0.0,0.0,0.5172413793103449,29.0,15.0,0.5,4.0,2.0,0.35,20.0,7.0,0,0.8888888888888888,9.0,8.0,1,0,0,1,1,0.5641025641025641,39,22,0.2,10.0,2.0,0.0,2.0,0.0,0.3870967741935484,31.0,12.0,0.0,0.0,0.0,0.4090909090909091,22.0,9.0,0,1.0,1.0,1.0,0,0,0,0,0,0.4358974358974359,39,17,-3.0
a9c915dc-7006-46df-a762-0a93b0447499,0.5,2.0,1.0,0.0,1.0,0.0,0.4375,16.0,7.0,0.9,20.0,18.0,0.7058823529411765,34.0,24.0,0,0.0,1.0,0.0,1,0,0,3,1,0.7045454545454546,44,31,0.3333333333333333,6.0,2.0,0.0,0.0,0.0,0.24,25.0,6.0,0.0,0.0,0.0,0.2222222222222222,18.0,4.0,0,0.0,1.0,0.0,0,0,0,0,0,0.24,25,6,-3.0
3ea9d21a-a59e-4687-bdec-ee9337037bc3,0.2222222222222222,9.0,2.0,0.0,0.0,0.0,0.22641509433962265,53.0,12.0,0.5,4.0,2.0,0.20454545454545456,44.0,9.0,0,0.75,4.0,3.0,0,0,0,0,0,0.24561403508771928,57,14,0.7142857142857143,7.0,5.0,0.0,0.0,0.0,0.3829787234042553,47.0,18.0,0.0,0.0,0.0,0.19230769230769232,26.0,5.0,1,0.5714285714285714,14.0,8.0,0,0,0,1,0,0.3829787234042553,47,18,3.0
84ccf369-4af0-406f-83ab-4a89ad78485f,0.2,10.0,2.0,0.0,2.0,0.0,0.3870967741935484,31.0,12.0,0.0,0.0,0.0,0.4090909090909091,22.0,9.0,0,1.0,1.0,1.0,0,0,0,0,0,0.4358974358974359,39,17,0.5,4.0,2.0,0.0,0.0,0.0,0.5172413793103449,29.0,15.0,0.5,4.0,2.0,0.35,20.0,7.0,0,0.8888888888888888,9.0,8.0,1,0,0,1,1,0.5641025641025641,39,22,3.0
fcadd5d1-00cf-4bdd-9e38-d9963ea20aba,0.3333333333333333,6.0,2.0,0.0,0.0,0.0,0.24,25.0,6.0,0.0,0.0,0.0,0.2222222222222222,18.0,4.0,0,0.0,1.0,0.0,0,0,0,0,0,0.24,25,6,0.5,2.0,1.0,0.0,1.0,0.0,0.4375,16.0,7.0,0.9,20.0,18.0,0.7058823529411765,34.0,24.0,0,0.0,1.0,0.0,1,0,0,3,1,0.7045454545454546,44,31,3.0
c9998a8d-6427-488e-ac75-944faa4bb4f0,0.0,1.0,0.0,0.3333333333333333,3.0,1.0,0.25,16.0,4.0,0.0,0.0,0.0,0.2777777777777778,18.0,5.0,0,0.0,0.0,0.0,0,0,0,5,1,0.3333333333333333,21,7,1.0,4.0,4.0,0.625,8.0,5.0,0.4594594594594595,37.0,17.0,0.0,0.0,0.0,0.34285714285714286,35.0,12.0,0,1.0,6.0,6.0,0,0,0,0,0,0.6470588235294118,68,44,3.0
0a1079c4-d2f2-4fcb-a57a-df1e0f552051,0.4,5.0,2.0,0.0,1.0,0.0,0.325,40.0,13.0,0.0,0.0,0.0,0.3055555555555556,36.0,11.0,0,0.0,0.0,0.0,0,0,0,0,0,0.3170731707317073,41,13,0.7,10.0,7.0,0.5833333333333334,12.0,7.0,0.410958904109589,73.0,30.0,0.7142857142857143,7.0,5.0,0.4050632911392405,79.0,32.0,2,1.0,3.0,3.0,0,0,0,0,0,0.4897959183673469,98,48,7.0
76866a0e-edf2-416d-86f3-aac051cc3102,0.7,10.0,7.0,0.5833333333333334,12.0,7.0,0.410958904109589,73.0,30.0,0.7142857142857143,7.0,5.0,0.4050632911392405,79.0,32.0,2,1.0,3.0,3.0,0,0,0,0,0,0.4897959183673469,98,48,0.4,5.0,2.0,0.0,1.0,0.0,0.325,40.0,13.0,0.0,0.0,0.0,0.3055555555555556,36.0,11.0,0,0.0,0.0,0.0,0,0,0,0,0,0.3170731707317073,41,13,-7.0
0bd1010d-88b1-4cf3-b2fd-5dc31bc81f14,1.0,4.0,4.0,0.625,8.0,5.0,0.4594594594594595,37.0,17.0,0.0,0.0,0.0,0.34285714285714286,35.0,12.0,0,1.0,6.0,6.0,0,0,0,0,0,0.6470588235294118,68,44,0.0,1.0,0.0,0.3333333333333333,3.0,1.0,0.25,16.0,4.0,0.0,0.0,0.0,0.2777777777777778,18.0,5.0,0,0.0,0.0,0.0,0,0,0,5,1,0.3333333333333333,21,7,-3.0
