oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defControlTime,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offControlTime,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
a4798eba-09a6-424f-b352-9d7f3da58545,6f5edf9d-8675-496e-bfdf-dd056abe2b60,2011-01-01T05:00:00.000+0000,0.6,5.0,3.0,0.0,0.0,0.0,12,0.4166666666666667,24.0,10.0,0,0.0,0.0,0.0,0.29411764705882354,17.0,5.0,0,,1.0,2.0,2.0,0,0.0,0,,0,0.0,2,0,0,0.4166666666666667,24,10,7d96bc577e5178b2,0,0.3333333333333333,3.0,1.0,0.6666666666666666,6.0,4.0,88,0.37142857142857144,35.0,13.0,0,0.5,16.0,8.0,0.4444444444444444,54.0,24.0,3,,0.0,0.0,0.0,0,0.0,1,,0,0.5,2,1,0,0.5802469135802469,81,47,1,,300,155,LW
79e2127c-0358-4b80-a5fc-043fc8ac10cc,6f5edf9d-8675-496e-bfdf-dd056abe2b60,2011-01-01T05:00:00.000+0000,0.7272727272727273,11.0,8.0,0.0,0.0,0.0,6,0.42,50.0,21.0,0,0.0,0.0,0.0,0.2857142857142857,35.0,10.0,0,,0.75,4.0,3.0,0,0.0,0,,0,1.0,1,1,0,0.42,50,21,7d96bc577e5178b2,0,0.5,2.0,1.0,1.0,1.0,1.0,0,0.16666666666666666,30.0,5.0,0,0.0,0.0,0.0,0.1724137931034483,29.0,5.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,2,0,0,0.1935483870967742,31,6,2,,300,155,LW
e31e1d8b-5cd3-4ec3-9abc-f6c5b20c20d6,6f5edf9d-8675-496e-bfdf-dd056abe2b60,2011-01-01T05:00:00.000+0000,0.3,10.0,3.0,0.0,0.0,0.0,0,0.45652173913043476,46.0,21.0,0,0.0,0.0,0.0,0.45161290322580644,31.0,14.0,0,,0.8,5.0,4.0,0,0.0,1,,0,0.0,0,0,0,0.4791666666666667,48,23,7d96bc577e5178b2,0,0.6666666666666666,3.0,2.0,0.0,0.0,0.0,45,0.53125,32.0,17.0,0,0.0,0.0,0.0,0.5,28.0,14.0,0,,1.0,1.0,1.0,0,0.0,0,,0,0.5,4,2,0,0.53125,32,17,3,,300,155,LW
48357c8c-803f-4bb2-8e10-11b3b2befd1a,6f5edf9d-8675-496e-bfdf-dd056abe2b60,2011-01-01T05:00:00.000+0000,0.6,5.0,3.0,0.625,8.0,5.0,69,0.45454545454545453,33.0,15.0,0,1.0,3.0,3.0,0.4857142857142857,35.0,17.0,0,,0.75,4.0,3.0,0,0.0,1,,0,0.4,5,2,0,0.5227272727272727,44,23,7d96bc577e5178b2,0,0.5,2.0,1.0,0.0,0.0,0.0,0,0.1794871794871795,39.0,7.0,0,0.0,0.0,0.0,0.16216216216216217,37.0,6.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,2,0,0,0.1794871794871795,39,7,4,,300,155,LW
682522b2-498b-46fd-8907-54e7e24e03ef,6f5edf9d-8675-496e-bfdf-dd056abe2b60,2011-01-01T05:00:00.000+0000,0.5,6.0,3.0,0.25,4.0,1.0,0,0.3275862068965517,58.0,19.0,0,0.0,0.0,0.0,0.2909090909090909,55.0,16.0,0,,1.0,1.0,1.0,0,0.0,0,,0,0.0,3,0,0,0.3225806451612903,62,20,7d96bc577e5178b2,0,1.0,3.0,3.0,0.6666666666666666,3.0,2.0,0,0.28,50.0,14.0,0,0.0,0.0,0.0,0.26,50.0,13.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,7,0,0,0.3018867924528302,53,16,5,,300,155,LW
ac4b7773-a153-4e51-8832-404ee1f2b589,6f5edf9d-8675-496e-bfdf-dd056abe2b60,2011-01-01T05:00:00.000+0000,0.3333333333333333,3.0,1.0,0.6666666666666666,6.0,4.0,88,0.37142857142857144,35.0,13.0,0,0.5,16.0,8.0,0.4444444444444444,54.0,24.0,3,,0.0,0.0,0.0,0,0.0,1,,0,0.5,2,1,0,0.5802469135802469,81,47,f2688492b9a525a3,0,0.6,5.0,3.0,0.0,0.0,0.0,12,0.4166666666666667,24.0,10.0,0,0.0,0.0,0.0,0.29411764705882354,17.0,5.0,0,,1.0,2.0,2.0,0,0.0,0,,0,0.0,2,0,0,0.4166666666666667,24,10,1,,300,155,LW
f2886281-52d6-4f3c-b82f-4ba9fa9f241b,6f5edf9d-8675-496e-bfdf-dd056abe2b60,2011-01-01T05:00:00.000+0000,0.5,2.0,1.0,1.0,1.0,1.0,0,0.16666666666666666,30.0,5.0,0,0.0,0.0,0.0,0.1724137931034483,29.0,5.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,2,0,0,0.1935483870967742,31,6,f2688492b9a525a3,0,0.7272727272727273,11.0,8.0,0.0,0.0,0.0,6,0.42,50.0,21.0,0,0.0,0.0,0.0,0.2857142857142857,35.0,10.0,0,,0.75,4.0,3.0,0,0.0,0,,0,1.0,1,1,0,0.42,50,21,2,,300,155,LW
2537b05a-f54a-4f79-b141-270f2ddd730f,6f5edf9d-8675-496e-bfdf-dd056abe2b60,2011-01-01T05:00:00.000+0000,0.6666666666666666,3.0,2.0,0.0,0.0,0.0,45,0.53125,32.0,17.0,0,0.0,0.0,0.0,0.5,28.0,14.0,0,,1.0,1.0,1.0,0,0.0,0,,0,0.5,4,2,0,0.53125,32,17,f2688492b9a525a3,0,0.3,10.0,3.0,0.0,0.0,0.0,0,0.45652173913043476,46.0,21.0,0,0.0,0.0,0.0,0.45161290322580644,31.0,14.0,0,,0.8,5.0,4.0,0,0.0,1,,0,0.0,0,0,0,0.4791666666666667,48,23,3,,300,155,LW
0f90bab5-ef0e-4f7e-9832-40c3c2b8cee3,6f5edf9d-8675-496e-bfdf-dd056abe2b60,2011-01-01T05:00:00.000+0000,0.5,2.0,1.0,0.0,0.0,0.0,0,0.1794871794871795,39.0,7.0,0,0.0,0.0,0.0,0.16216216216216217,37.0,6.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,2,0,0,0.1794871794871795,39,7,f2688492b9a525a3,0,0.6,5.0,3.0,0.625,8.0,5.0,69,0.45454545454545453,33.0,15.0,0,1.0,3.0,3.0,0.4857142857142857,35.0,17.0,0,,0.75,4.0,3.0,0,0.0,1,,0,0.4,5,2,0,0.5227272727272727,44,23,4,,300,155,LW
f6e92391-6df5-4dc1-8561-9b1e830a7c82,6f5edf9d-8675-496e-bfdf-dd056abe2b60,2011-01-01T05:00:00.000+0000,1.0,3.0,3.0,0.6666666666666666,3.0,2.0,0,0.28,50.0,14.0,0,0.0,0.0,0.0,0.26,50.0,13.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,7,0,0,0.3018867924528302,53,16,f2688492b9a525a3,0,0.5,6.0,3.0,0.25,4.0,1.0,0,0.3275862068965517,58.0,19.0,0,0.0,0.0,0.0,0.2909090909090909,55.0,16.0,0,,1.0,1.0,1.0,0,0.0,0,,0,0.0,3,0,0,0.3225806451612903,62,20,5,,300,155,LW
