oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defControlTime,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offControlTime,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
5e1197dd-f369-40e7-9bd1-5e135766c72c,101d1b01-675f-4ecd-9445-cb2b0d23879d,2007-01-20T05:00:00.000+0000,1.0,2.0,2.0,1.0,1.0,1.0,139,1.0,3.0,3.0,1,1.0,4.0,4.0,1.0,4.0,4.0,0,,1.0,2.0,2.0,0,Infinity,0,,1,1.0,2,2,0,0.9508196721311475,61,58,ce47f49e5c386a9c,1,1.0,1.0,1.0,0.0,0.0,0.0,0,0.5,4.0,2.0,0,0.0,0.0,0.0,0.5,2.0,1.0,0,,0.0,1.0,0.0,0,0.0,2,,0,0.0,0,0,0,0.6,5,3,1,,173,155,LW
0acc64a4-9904-4009-af57-247ceb92c424,101d1b01-675f-4ecd-9445-cb2b0d23879d,2007-01-20T05:00:00.000+0000,1.0,1.0,1.0,0.0,0.0,0.0,0,0.5,4.0,2.0,0,0.0,0.0,0.0,0.5,2.0,1.0,0,,0.0,1.0,0.0,0,0.0,2,,0,0.0,0,0,0,0.6,5,3,11e3fd7546359fc5,1,1.0,2.0,2.0,1.0,1.0,1.0,139,1.0,3.0,3.0,1,1.0,4.0,4.0,1.0,4.0,4.0,0,,1.0,2.0,2.0,0,Infinity,0,,1,1.0,2,2,0,0.9508196721311475,61,58,1,,173,155,LW
128c9107-06d9-4faf-8b8a-3b61fd76a1af,894877a3-107d-4520-8a75-5efa479302d6,2007-01-20T05:00:00.000+0000,0.5,2.0,1.0,0.0,1.0,0.0,129,1.0,1.0,1.0,1,0.6875,16.0,11.0,0.6666666666666666,15.0,10.0,0,,1.0,1.0,1.0,0,0.0,0,,0,1.0,2,2,1,0.7,20,14,122806b56775a53a,1,0.16666666666666666,6.0,1.0,0.2,5.0,1.0,0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.7777777777777778,27,21,1,,151,145,FFW
be71e13e-75a3-4af8-8968-7ff250579537,894877a3-107d-4520-8a75-5efa479302d6,2007-01-20T05:00:00.000+0000,0.16666666666666666,6.0,1.0,0.2,5.0,1.0,0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.7777777777777778,27,21,78114b7199cef90c,1,0.5,2.0,1.0,0.0,1.0,0.0,129,1.0,1.0,1.0,1,0.6875,16.0,11.0,0.6666666666666666,15.0,10.0,0,,1.0,1.0,1.0,0,0.0,0,,0,1.0,2,2,1,0.7,20,14,1,,151,145,FFW
3b8c173b-2bed-4973-9cf9-1125bc99a54b,12ab79d6-4fb2-4968-9a9a-76d3c949d3e9,2007-01-20T05:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,219,0.25,4.0,1.0,1,0.7,10.0,7.0,0.5384615384615384,13.0,7.0,0,,1.0,1.0,1.0,0,0.5,2,,1,1.0,1,1,0,0.6904761904761905,42,29,e4770d5ed44a3970,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.2727272727272727,11,3,1,,290,170,WW
348fff3b-19c8-4fda-882d-04b73c20e2d0,12ab79d6-4fb2-4968-9a9a-76d3c949d3e9,2007-01-20T05:00:00.000+0000,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.2727272727272727,11,3,7a15f3694c5cbc02,1,0.0,0.0,0.0,0.0,0.0,0.0,219,0.25,4.0,1.0,1,0.7,10.0,7.0,0.5384615384615384,13.0,7.0,0,,1.0,1.0,1.0,0,0.5,2,,1,1.0,1,1,0,0.6904761904761905,42,29,1,,290,170,WW
4e8e002d-6803-4aea-a71c-b8bcb9f13907,ee24a3a2-ffd9-4890-94f0-b0fb1ced059e,2007-01-20T05:00:00.000+0000,0.75,4.0,3.0,0.5555555555555556,9.0,5.0,7,0.3333333333333333,3.0,1.0,0,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,0,,0.5,2.0,1.0,0,0.0,1,,0,0.0,0,0,0,0.7358490566037735,53,39,8753e125f4499816,0,0.75,4.0,3.0,0.6666666666666666,3.0,2.0,244,0.3333333333333333,9.0,3.0,0,0.4444444444444444,18.0,8.0,0.2857142857142857,21.0,6.0,0,,0.8,5.0,4.0,0,0.0,0,,0,1.0,1,1,0,0.46153846153846156,39,18,1,,300,185,MW
bbc1c61e-3fa4-4e13-9554-389cc4d767e6,ee24a3a2-ffd9-4890-94f0-b0fb1ced059e,2007-01-20T05:00:00.000+0000,0.6,5.0,3.0,0.7777777777777778,9.0,7.0,259,0.25,4.0,1.0,0,0.3333333333333333,9.0,3.0,0.47058823529411764,17.0,8.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.6923076923076923,52,36,8753e125f4499816,0,0.0,0.0,0.0,1.0,2.0,2.0,13,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,2.0,2.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,1.0,3,3,2,,300,185,MW
45bdfbaa-b667-41d4-a951-2ad500b1fcc4,ee24a3a2-ffd9-4890-94f0-b0fb1ced059e,2007-01-20T05:00:00.000+0000,0.5,6.0,3.0,0.47058823529411764,17.0,8.0,125,0.0,5.0,0.0,1,0.6923076923076923,13.0,9.0,0.4827586206896552,29.0,14.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,1,0.6907216494845361,97,67,8753e125f4499816,1,1.0,2.0,2.0,0.6666666666666666,3.0,2.0,76,0.6,10.0,6.0,0,1.0,1.0,1.0,0.5833333333333334,12.0,7.0,0,,0.0,0.0,0.0,0,0.0,0,,0,1.0,1,1,0,0.7368421052631579,19,14,3,,263,185,MW
c924e96c-d82e-458a-8c7e-b2c058aba089,ee24a3a2-ffd9-4890-94f0-b0fb1ced059e,2007-01-20T05:00:00.000+0000,0.75,4.0,3.0,0.6666666666666666,3.0,2.0,244,0.3333333333333333,9.0,3.0,0,0.4444444444444444,18.0,8.0,0.2857142857142857,21.0,6.0,0,,0.8,5.0,4.0,0,0.0,0,,0,1.0,1,1,0,0.46153846153846156,39,18,6776260cb0aef647,0,0.75,4.0,3.0,0.5555555555555556,9.0,5.0,7,0.3333333333333333,3.0,1.0,0,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,0,,0.5,2.0,1.0,0,0.0,1,,0,0.0,0,0,0,0.7358490566037735,53,39,1,,300,185,MW
