oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defControlTime,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offControlTime,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
9455e7a5-814e-4edc-8930-d1b2ae3a269f,625a1bbe-d6ce-41db-8ea1-2905a61e0b98,2016-01-02T05:00:00.000+0000,0.0,2.0,0.0,0.0,0.0,0.0,147,0.0,6.0,0.0,1,0.4520547945205479,73.0,33.0,0.42857142857142855,77.0,33.0,0,,0.0,0.0,0.0,0,0.0,0,,0,1.0,1,1,1,0.5217391304347826,115,60,8d49545dadf9b919,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,3.0,1.0,0,0.0,0.0,0.0,0.3333333333333333,3.0,1.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.3333333333333333,3,1,1,,192,170,WW
fd343360-3596-4bae-812b-553d6e54d01d,625a1bbe-d6ce-41db-8ea1-2905a61e0b98,2016-01-02T05:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,3.0,1.0,0,0.0,0.0,0.0,0.3333333333333333,3.0,1.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.3333333333333333,3,1,ec2d13a87d3d9541,1,0.0,2.0,0.0,0.0,0.0,0.0,147,0.0,6.0,0.0,1,0.4520547945205479,73.0,33.0,0.42857142857142855,77.0,33.0,0,,0.0,0.0,0.0,0,0.0,0,,0,1.0,1,1,1,0.5217391304347826,115,60,1,,192,170,WW
ffe01140-f395-44cc-bcec-7b97f676e965,31ea71e5-ab3a-45c0-8e14-69934a3b7225,2016-01-02T05:00:00.000+0000,0.0,0.0,0.0,0.5,2.0,1.0,2,0.625,8.0,5.0,1,1.0,5.0,5.0,0.7333333333333333,15.0,11.0,1,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,1,0.7333333333333333,15,11,3738e68d2261e60f,1,0.0,2.0,0.0,1.0,1.0,1.0,0,0.5454545454545454,11.0,6.0,0,0.0,0.0,0.0,0.6666666666666666,6.0,4.0,0,,0.75,4.0,3.0,0,0.0,0,,0,0.0,0,0,0,0.5833333333333334,12,7,1,,54,265,HW
38d3d309-366d-4879-b0ab-3402d390417f,31ea71e5-ab3a-45c0-8e14-69934a3b7225,2016-01-02T05:00:00.000+0000,0.0,2.0,0.0,1.0,1.0,1.0,0,0.5454545454545454,11.0,6.0,0,0.0,0.0,0.0,0.6666666666666666,6.0,4.0,0,,0.75,4.0,3.0,0,0.0,0,,0,0.0,0,0,0,0.5833333333333334,12,7,d28dee5c705991df,1,0.0,0.0,0.0,0.5,2.0,1.0,2,0.625,8.0,5.0,1,1.0,5.0,5.0,0.7333333333333333,15.0,11.0,1,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,1,0.7333333333333333,15,11,1,,54,265,HW
b22da5b0-e93f-44e5-ab30-0f2ad865fefd,87ad16dc-3151-480d-a729-d99973fce75d,2016-01-02T05:00:00.000+0000,0.6666666666666666,3.0,2.0,1.0,1.0,1.0,17,0.3,10.0,3.0,1,0.0,0.0,0.0,0.25,8.0,2.0,0,,0.0,0.0,0.0,0,1.0,1,,1,0.0,2,0,0,0.36363636363636365,11,4,57bad6a84230f0c9,1,0.0,0.0,0.0,0.0,0.0,0.0,12,0.4166666666666667,12.0,5.0,0,0.0,0.0,0.0,0.4166666666666667,12.0,5.0,0,,0.0,0.0,0.0,0,0.0,0,,0,1.0,1,1,0,0.4166666666666667,12,5,1,,198,155,LW
2d0bd55a-2f4c-4572-8428-de5fa4f83c1a,87ad16dc-3151-480d-a729-d99973fce75d,2016-01-02T05:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,12,0.4166666666666667,12.0,5.0,0,0.0,0.0,0.0,0.4166666666666667,12.0,5.0,0,,0.0,0.0,0.0,0,0.0,0,,0,1.0,1,1,0,0.4166666666666667,12,5,e14b5aa06eea9653,1,0.6666666666666666,3.0,2.0,1.0,1.0,1.0,17,0.3,10.0,3.0,1,0.0,0.0,0.0,0.25,8.0,2.0,0,,0.0,0.0,0.0,0,1.0,1,,1,0.0,2,0,0,0.36363636363636365,11,4,1,,198,155,LW
7227feea-6a8f-490a-9921-a022b8a657b4,98959e8f-56e4-459b-aaaa-8af88f48bc03,2016-01-02T05:00:00.000+0000,1.0,3.0,3.0,1.0,2.0,2.0,0,0.625,16.0,10.0,0,0.0,0.0,0.0,0.6,15.0,9.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.6666666666666666,18,12,f9f07bb5a43535ed,0,0.75,12.0,9.0,0.625,8.0,5.0,7,0.34328358208955223,67.0,23.0,0,0.0,0.0,0.0,0.17307692307692307,52.0,9.0,0,,0.9090909090909091,11.0,10.0,0,0.0,0,,0,0.0,0,0,0,0.37333333333333335,75,28,1,,300,170,WW
455cedbc-19a0-4339-a19c-3e021d985e6d,98959e8f-56e4-459b-aaaa-8af88f48bc03,2016-01-02T05:00:00.000+0000,1.0,2.0,2.0,0.0,0.0,0.0,37,0.42105263157894735,19.0,8.0,0,0.5,4.0,2.0,0.38095238095238093,21.0,8.0,1,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.4583333333333333,24,11,f9f07bb5a43535ed,0,0.36363636363636365,11.0,4.0,1.0,1.0,1.0,0,0.22857142857142856,70.0,16.0,0,0.0,0.0,0.0,0.12244897959183673,49.0,6.0,0,,0.6363636363636364,11.0,7.0,0,0.0,0,,0,0.0,0,0,0,0.2465753424657534,73,18,2,,300,170,WW
84ab8c23-e456-45a1-b01b-fe20e2f62b49,98959e8f-56e4-459b-aaaa-8af88f48bc03,2016-01-02T05:00:00.000+0000,0.0,0.0,0.0,0.75,4.0,3.0,5,0.36363636363636365,22.0,8.0,0,0.0,0.0,0.0,0.375,24.0,9.0,0,,1.0,2.0,2.0,0,0.0,0,,0,0.0,0,0,0,0.4230769230769231,26,11,f9f07bb5a43535ed,0,0.45,20.0,9.0,1.0,2.0,2.0,3,0.2631578947368421,76.0,20.0,0,0.0,0.0,0.0,0.12,50.0,6.0,0,,0.875,8.0,7.0,0,0.0,0,,0,0.0,0,0,0,0.28205128205128205,78,22,3,,300,170,WW
cead37e6-a565-400b-9f6a-5443d4940142,98959e8f-56e4-459b-aaaa-8af88f48bc03,2016-01-02T05:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,18.0,6.0,0,0.0,0.0,0.0,0.3333333333333333,18.0,6.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.3333333333333333,18,6,f9f07bb5a43535ed,0,0.8235294117647058,17.0,14.0,0.6666666666666666,12.0,8.0,0,0.45348837209302323,86.0,39.0,0,0.0,0.0,0.0,0.3698630136986301,73.0,27.0,0,,0.75,8.0,6.0,0,0.0,0,,0,0.0,0,0,0,0.47959183673469385,98,47,4,,300,170,WW
36eddaf2-b8f9-4e07-852d-2509e57a522d,98959e8f-56e4-459b-aaaa-8af88f48bc03,2016-01-02T05:00:00.000+0000,1.0,2.0,2.0,0.6428571428571429,14.0,9.0,0,0.5641025641025641,78.0,44.0,0,0.0,0.0,0.0,0.5617977528089888,89.0,50.0,0,,1.0,1.0,1.0,0,0.0,0,,0,0.0,0,0,0,0.5760869565217391,92,53,f9f07bb5a43535ed,0,0.5789473684210527,19.0,11.0,0.44,25.0,11.0,0,0.34459459459459457,148.0,51.0,0,0.0,0.0,0.0,0.32432432432432434,148.0,48.0,0,,0.5,6.0,3.0,0,0.0,0,,0,0.0,0,0,0,0.3583815028901734,173,62,5,,300,170,WW
7a1575c5-7534-4118-a102-3c49c5ffea0e,98959e8f-56e4-459b-aaaa-8af88f48bc03,2016-01-02T05:00:00.000+0000,0.75,12.0,9.0,0.625,8.0,5.0,7,0.34328358208955223,67.0,23.0,0,0.0,0.0,0.0,0.17307692307692307,52.0,9.0,0,,0.9090909090909091,11.0,10.0,0,0.0,0,,0,0.0,0,0,0,0.37333333333333335,75,28,f2925e6db404bf1d,0,1.0,3.0,3.0,1.0,2.0,2.0,0,0.625,16.0,10.0,0,0.0,0.0,0.0,0.6,15.0,9.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.6666666666666666,18,12,1,,300,170,WW
0001a4ba-fbfa-455f-a381-22066f4fbd98,98959e8f-56e4-459b-aaaa-8af88f48bc03,2016-01-02T05:00:00.000+0000,0.36363636363636365,11.0,4.0,1.0,1.0,1.0,0,0.22857142857142856,70.0,16.0,0,0.0,0.0,0.0,0.12244897959183673,49.0,6.0,0,,0.6363636363636364,11.0,7.0,0,0.0,0,,0,0.0,0,0,0,0.2465753424657534,73,18,f2925e6db404bf1d,0,1.0,2.0,2.0,0.0,0.0,0.0,37,0.42105263157894735,19.0,8.0,0,0.5,4.0,2.0,0.38095238095238093,21.0,8.0,1,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.4583333333333333,24,11,2,,300,170,WW
f68b0de7-67bb-4908-8b0a-e99425cfbddd,98959e8f-56e4-459b-aaaa-8af88f48bc03,2016-01-02T05:00:00.000+0000,0.45,20.0,9.0,1.0,2.0,2.0,3,0.2631578947368421,76.0,20.0,0,0.0,0.0,0.0,0.12,50.0,6.0,0,,0.875,8.0,7.0,0,0.0,0,,0,0.0,0,0,0,0.28205128205128205,78,22,f2925e6db404bf1d,0,0.0,0.0,0.0,0.75,4.0,3.0,5,0.36363636363636365,22.0,8.0,0,0.0,0.0,0.0,0.375,24.0,9.0,0,,1.0,2.0,2.0,0,0.0,0,,0,0.0,0,0,0,0.4230769230769231,26,11,3,,300,170,WW
3de1e9d0-ca20-464c-ab05-350be554ad7d,98959e8f-56e4-459b-aaaa-8af88f48bc03,2016-01-02T05:00:00.000+0000,0.8235294117647058,17.0,14.0,0.6666666666666666,12.0,8.0,0,0.45348837209302323,86.0,39.0,0,0.0,0.0,0.0,0.3698630136986301,73.0,27.0,0,,0.75,8.0,6.0,0,0.0,0,,0,0.0,0,0,0,0.47959183673469385,98,47,f2925e6db404bf1d,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,18.0,6.0,0,0.0,0.0,0.0,0.3333333333333333,18.0,6.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.3333333333333333,18,6,4,,300,170,WW
f8543222-abd7-4457-a7ac-d3ceed10b278,98959e8f-56e4-459b-aaaa-8af88f48bc03,2016-01-02T05:00:00.000+0000,0.5789473684210527,19.0,11.0,0.44,25.0,11.0,0,0.34459459459459457,148.0,51.0,0,0.0,0.0,0.0,0.32432432432432434,148.0,48.0,0,,0.5,6.0,3.0,0,0.0,0,,0,0.0,0,0,0,0.3583815028901734,173,62,f2925e6db404bf1d,0,1.0,2.0,2.0,0.6428571428571429,14.0,9.0,0,0.5641025641025641,78.0,44.0,0,0.0,0.0,0.0,0.5617977528089888,89.0,50.0,0,,1.0,1.0,1.0,0,0.0,0,,0,0.0,0,0,0,0.5760869565217391,92,53,5,,300,170,WW
