oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defControlTime,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offControlTime,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
579e307e-ea36-4339-b2f8-ead563a568ce,b86d0f22-54da-4b5f-a74f-65d581626662,2018-01-14T05:00:00.000+0000,1.0,4.0,4.0,1.0,1.0,1.0,0,0.27586206896551724,29.0,8.0,0,0.0,0.0,0.0,0.19230769230769232,26.0,5.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.3,30,9,edd02825c29028fe,1,1.0,1.0,1.0,0.0,2.0,0.0,0,0.4722222222222222,36.0,17.0,1,1.0,1.0,1.0,0.4473684210526316,38.0,17.0,2,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,1,0.475,40,19,1,,60,155,LW
5df92dda-3772-45be-b2b1-195abd1aa040,b86d0f22-54da-4b5f-a74f-65d581626662,2018-01-14T05:00:00.000+0000,1.0,1.0,1.0,0.0,2.0,0.0,0,0.4722222222222222,36.0,17.0,1,1.0,1.0,1.0,0.4473684210526316,38.0,17.0,2,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,1,0.475,40,19,dccb63727f2f5f74,1,1.0,4.0,4.0,1.0,1.0,1.0,0,0.27586206896551724,29.0,8.0,0,0.0,0.0,0.0,0.19230769230769232,26.0,5.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.3,30,9,1,,60,155,LW
c2442f84-8d3b-4584-ba26-91c3f53aa1ab,776e2d8a-42e3-484b-a030-991e90d8794f,2018-01-14T05:00:00.000+0000,1.0,2.0,2.0,1.0,2.0,2.0,0,0.28169014084507044,71.0,20.0,0,0.0,0.0,0.0,0.22033898305084745,59.0,13.0,0,,0.5833333333333334,12.0,7.0,0,0.0,0,,0,0.0,0,0,0,0.3013698630136986,73,22,e93b04e308913c2e,0,0.4,5.0,2.0,0.6666666666666666,3.0,2.0,4,0.5185185185185185,54.0,28.0,0,0.0,0.0,0.0,0.4117647058823529,34.0,14.0,0,,0.7777777777777778,18.0,14.0,0,0.0,0,,0,0.0,0,0,0,0.5263157894736842,57,30,1,,300,145,FFW
202688db-e6b3-427f-9cc4-67ab8cb3056d,776e2d8a-42e3-484b-a030-991e90d8794f,2018-01-14T05:00:00.000+0000,1.0,4.0,4.0,1.0,1.0,1.0,11,0.41509433962264153,53.0,22.0,1,0.6666666666666666,6.0,4.0,0.36538461538461536,52.0,19.0,1,,1.0,4.0,4.0,0,0.0,0,,0,0.0,0,0,1,0.45,60,27,e93b04e308913c2e,1,0.5,2.0,1.0,0.0,0.0,0.0,0,0.6363636363636364,22.0,14.0,0,0.0,0.0,0.0,0.5882352941176471,17.0,10.0,0,,1.0,3.0,3.0,0,0.0,0,,0,0.0,0,0,0,0.6521739130434783,23,15,2,,156,145,FFW
64d5a1b5-b7e9-4c97-a76c-029b5b35e475,776e2d8a-42e3-484b-a030-991e90d8794f,2018-01-14T05:00:00.000+0000,0.4,5.0,2.0,0.6666666666666666,3.0,2.0,4,0.5185185185185185,54.0,28.0,0,0.0,0.0,0.0,0.4117647058823529,34.0,14.0,0,,0.7777777777777778,18.0,14.0,0,0.0,0,,0,0.0,0,0,0,0.5263157894736842,57,30,18968f97ad34f15c,0,1.0,2.0,2.0,1.0,2.0,2.0,0,0.28169014084507044,71.0,20.0,0,0.0,0.0,0.0,0.22033898305084745,59.0,13.0,0,,0.5833333333333334,12.0,7.0,0,0.0,0,,0,0.0,0,0,0,0.3013698630136986,73,22,1,,300,145,FFW
074eb871-1e1b-4c20-922c-7adb44f1bd70,776e2d8a-42e3-484b-a030-991e90d8794f,2018-01-14T05:00:00.000+0000,0.5,2.0,1.0,0.0,0.0,0.0,0,0.6363636363636364,22.0,14.0,0,0.0,0.0,0.0,0.5882352941176471,17.0,10.0,0,,1.0,3.0,3.0,0,0.0,0,,0,0.0,0,0,0,0.6521739130434783,23,15,18968f97ad34f15c,1,1.0,4.0,4.0,1.0,1.0,1.0,11,0.41509433962264153,53.0,22.0,1,0.6666666666666666,6.0,4.0,0.36538461538461536,52.0,19.0,1,,1.0,4.0,4.0,0,0.0,0,,0,0.0,0,0,1,0.45,60,27,2,,156,145,FFW
39a791d6-c2a8-4b1c-bddc-4ca046094b25,c34e69f9-c749-4766-a9b2-a0e428a2de1e,2018-01-14T05:00:00.000+0000,0.6666666666666666,3.0,2.0,0.75,4.0,3.0,48,0.4375,16.0,7.0,0,0.875,8.0,7.0,0.5833333333333334,24.0,14.0,0,,1.0,1.0,1.0,0,0.0,1,,0,1.0,1,1,0,0.6176470588235294,34,21,f72465a784c1b084,0,0.5,2.0,1.0,1.0,1.0,1.0,0,0.4,10.0,4.0,0,0.6666666666666666,3.0,2.0,0.5,12.0,6.0,0,,0.0,0.0,0.0,0,0.0,6,,0,0.0,1,0,0,0.6451612903225806,31,20,1,,300,125,WFW
a9ebb9d4-3c5b-4a10-ad24-be540263f299,c34e69f9-c749-4766-a9b2-a0e428a2de1e,2018-01-14T05:00:00.000+0000,1.0,2.0,2.0,1.0,2.0,2.0,0,0.0,0.0,0.0,0,1.0,2.0,2.0,1.0,2.0,2.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.5833333333333334,12,7,f72465a784c1b084,0,0.0,0.0,0.0,1.0,2.0,2.0,280,0.0,0.0,0.0,0,0.75,4.0,3.0,0.75,4.0,3.0,0,,1.0,2.0,2.0,0,0.0,0,,0,1.0,1,1,0,0.8461538461538461,13,11,2,,300,125,WFW
fbe23552-9da3-45b4-aa5e-42d3060f363c,c34e69f9-c749-4766-a9b2-a0e428a2de1e,2018-01-14T05:00:00.000+0000,0.6666666666666666,3.0,2.0,1.0,2.0,2.0,15,0.34375,32.0,11.0,0,1.0,4.0,4.0,0.375,32.0,12.0,0,,1.0,3.0,3.0,0,0.0,0,,0,0.0,1,0,0,0.5333333333333333,45,24,f72465a784c1b084,0,0.5,2.0,1.0,0.0,0.0,0.0,104,0.44,25.0,11.0,0,0.5,4.0,2.0,0.4230769230769231,26.0,11.0,0,,1.0,1.0,1.0,0,0.0,0,,0,1.0,2,2,0,0.5238095238095238,42,22,3,,300,125,WFW
cdd94343-f89e-43e4-9d37-637a7979d33c,c34e69f9-c749-4766-a9b2-a0e428a2de1e,2018-01-14T05:00:00.000+0000,0.5,2.0,1.0,1.0,1.0,1.0,0,0.4,10.0,4.0,0,0.6666666666666666,3.0,2.0,0.5,12.0,6.0,0,,0.0,0.0,0.0,0,0.0,6,,0,0.0,1,0,0,0.6451612903225806,31,20,27b164b0d1833df0,0,0.6666666666666666,3.0,2.0,0.75,4.0,3.0,48,0.4375,16.0,7.0,0,0.875,8.0,7.0,0.5833333333333334,24.0,14.0,0,,1.0,1.0,1.0,0,0.0,1,,0,1.0,1,1,0,0.6176470588235294,34,21,1,,300,125,WFW
