oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defControlTime,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offControlTime,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
2b257136-7aaa-42a1-8ea6-6279053b8a29,5d1df189-c869-41d4-a58a-c502ca6de5c7,2020-01-18T05:00:00.000+0000,0.0,1.0,0.0,0.0,0.0,0.0,118,0.6,5.0,3.0,1,0.5714285714285714,7.0,4.0,0.5555555555555556,9.0,5.0,0,,1.0,2.0,2.0,0,1.0,1,,1,0.5,2,1,0,0.8235294117647058,34,28,6d68c1afe954f121,1,0.0,0.0,0.0,1.0,1.0,1.0,4,0.375,8.0,3.0,0,1.0,5.0,5.0,0.6428571428571429,14.0,9.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.76,25,19,1,,169,135,BW
c4ce94c9-c94c-4976-9b5a-eb83b7d6f977,5d1df189-c869-41d4-a58a-c502ca6de5c7,2020-01-18T05:00:00.000+0000,0.0,0.0,0.0,1.0,1.0,1.0,4,0.375,8.0,3.0,0,1.0,5.0,5.0,0.6428571428571429,14.0,9.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.76,25,19,7be14eaed4c74856,1,0.0,1.0,0.0,0.0,0.0,0.0,118,0.6,5.0,3.0,1,0.5714285714285714,7.0,4.0,0.5555555555555556,9.0,5.0,0,,1.0,2.0,2.0,0,1.0,1,,1,0.5,2,1,0,0.8235294117647058,34,28,1,,169,135,BW
63f6a362-77e2-409c-9e4d-88e03973512d,83c5d60d-5a95-43be-b81c-17fb01ec0d50,2020-01-18T05:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,252,0.16666666666666666,6.0,1.0,0,0.0,1.0,0.0,0.14285714285714285,7.0,1.0,0,,0.0,0.0,0.0,0,0.0,1,,0,1.0,2,2,0,0.45454545454545453,11,5,068f8a189a47fea6,0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.5,6.0,3.0,0,0.0,0.0,0.0,0.25,4.0,1.0,0,,1.0,2.0,2.0,0,0.0,0,,0,0.0,0,0,0,0.896551724137931,29,26,1,,300,265,HW
4f5ab40a-2b78-417e-8a22-ca3235631222,83c5d60d-5a95-43be-b81c-17fb01ec0d50,2020-01-18T05:00:00.000+0000,1.0,2.0,2.0,0.0,0.0,0.0,192,0.3,10.0,3.0,1,0.6,5.0,3.0,0.25,12.0,3.0,0,,1.0,1.0,1.0,0,0.5,2,,1,1.0,1,1,0,0.5714285714285714,35,20,068f8a189a47fea6,1,0.5,2.0,1.0,1.0,3.0,3.0,37,0.35,20.0,7.0,0,0.0,0.0,0.0,0.42857142857142855,21.0,9.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.48,25,12,2,,278,265,HW
2e31d067-bc88-4100-8d06-88d24e856cf9,83c5d60d-5a95-43be-b81c-17fb01ec0d50,2020-01-18T05:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,17,0.5,6.0,3.0,0,0.0,0.0,0.0,0.25,4.0,1.0,0,,1.0,2.0,2.0,0,0.0,0,,0,0.0,0,0,0,0.896551724137931,29,26,98c23cb6da5b3352,0,0.0,0.0,0.0,0.0,0.0,0.0,252,0.16666666666666666,6.0,1.0,0,0.0,1.0,0.0,0.14285714285714285,7.0,1.0,0,,0.0,0.0,0.0,0,0.0,1,,0,1.0,2,2,0,0.45454545454545453,11,5,1,,300,265,HW
7314ac10-0f9d-46f8-85d4-e89d334a6a48,83c5d60d-5a95-43be-b81c-17fb01ec0d50,2020-01-18T05:00:00.000+0000,0.5,2.0,1.0,1.0,3.0,3.0,37,0.35,20.0,7.0,0,0.0,0.0,0.0,0.42857142857142855,21.0,9.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.48,25,12,98c23cb6da5b3352,1,1.0,2.0,2.0,0.0,0.0,0.0,192,0.3,10.0,3.0,1,0.6,5.0,3.0,0.25,12.0,3.0,0,,1.0,1.0,1.0,0,0.5,2,,1,1.0,1,1,0,0.5714285714285714,35,20,2,,278,265,HW
1846552a-d207-439c-a2a5-3a3d80120a11,8ac72052-c2ed-4b35-8722-6c84ab8fb67f,2020-01-18T05:00:00.000+0000,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.0,1,0,f4c49976c75c5ab2,1,0.0,1.0,0.0,1.0,3.0,3.0,13,0.42857142857142855,7.0,3.0,1,0.8125,16.0,13.0,0.76,25.0,19.0,1,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,1,0.7407407407407407,27,20,1,,40,170,WW
5b6a9cb0-e26b-46be-bcd8-1913a36b3120,8ac72052-c2ed-4b35-8722-6c84ab8fb67f,2020-01-18T05:00:00.000+0000,0.0,1.0,0.0,1.0,3.0,3.0,13,0.42857142857142855,7.0,3.0,1,0.8125,16.0,13.0,0.76,25.0,19.0,1,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,1,0.7407407407407407,27,20,1d00756835ca67c9,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.0,1,0,1,,40,170,WW
d99ee2e7-f1f2-4ffe-a317-6d69acc48872,0228ad7e-f655-4757-92cb-d1053a48992a,2020-01-18T05:00:00.000+0000,0.6666666666666666,6.0,4.0,0.0,1.0,0.0,0,0.3020833333333333,96.0,29.0,0,0.0,0.0,0.0,0.20512820512820512,78.0,16.0,0,,0.6923076923076923,13.0,9.0,0,0.0,0,,0,0.0,0,0,0,0.29896907216494845,97,29,6fd953151d981979,0,0.6666666666666666,3.0,2.0,1.0,1.0,1.0,0,0.30434782608695654,46.0,14.0,0,0.0,0.0,0.0,0.275,40.0,11.0,0,,0.5,4.0,2.0,0,0.0,0,,0,0.0,0,0,0,0.3191489361702128,47,15,1,,300,125,WFW
82ecc693-fa79-4b28-a520-e176e7f141a2,0228ad7e-f655-4757-92cb-d1053a48992a,2020-01-18T05:00:00.000+0000,0.875,8.0,7.0,1.0,4.0,4.0,0,0.32558139534883723,129.0,42.0,0,0.0,0.0,0.0,0.27586206896551724,116.0,32.0,0,,0.7777777777777778,9.0,7.0,0,0.0,0,,0,0.0,0,0,0,0.3458646616541353,133,46,6fd953151d981979,0,1.0,5.0,5.0,0.5,4.0,2.0,0,0.4897959183673469,49.0,24.0,0,0.0,0.0,0.0,0.425531914893617,47.0,20.0,0,,1.0,1.0,1.0,0,0.0,0,,0,0.0,0,0,0,0.5254237288135594,59,31,2,,300,125,WFW
