oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defControlTime,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offControlTime,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
c3acfb75-20cd-44ef-8965-f627ed73afe3,14a8e72c-cd65-404b-8185-7d675b51b10c,2008-01-19T05:00:00.000+0000,1.0,5.0,5.0,0.5,4.0,2.0,57,0.5833333333333334,12.0,7.0,0,0.0,0.0,0.0,0.25,8.0,2.0,0,,0.6666666666666666,3.0,2.0,0,0.0,0,,0,0.0,10,0,0,0.7083333333333334,24,17,501b07aec9b8fc2d,0,1.0,5.0,5.0,1.0,2.0,2.0,122,0.08333333333333333,36.0,3.0,0,0.75,4.0,3.0,0.029411764705882353,34.0,1.0,0,,0.6666666666666666,3.0,2.0,0,0.0,0,,0,0.0,0,0,0,0.46153846153846156,65,30,1,,300,155,LW
bf2e5f92-f82b-45f6-9b4d-f3a5184077a6,14a8e72c-cd65-404b-8185-7d675b51b10c,2008-01-19T05:00:00.000+0000,1.0,4.0,4.0,0.5,4.0,2.0,66,0.5,10.0,5.0,0,0.0,0.0,0.0,0.125,8.0,1.0,0,,1.0,2.0,2.0,0,0.0,1,,0,0.1,10,1,0,0.6190476190476191,21,13,501b07aec9b8fc2d,0,0.6666666666666666,3.0,2.0,0.6,5.0,3.0,104,0.11538461538461539,26.0,3.0,0,0.5294117647058824,17.0,9.0,0.16666666666666666,36.0,6.0,0,,0.7777777777777778,9.0,7.0,0,0.0,0,,0,0.0,0,0,0,0.3584905660377358,53,19,2,,300,155,LW
d8e1e443-a020-4803-8baa-cfa321196e86,14a8e72c-cd65-404b-8185-7d675b51b10c,2008-01-19T05:00:00.000+0000,0.6666666666666666,3.0,2.0,1.0,2.0,2.0,59,0.18181818181818182,11.0,2.0,0,0.0,0.0,0.0,0.2,10.0,2.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.1,10,1,0,0.47368421052631576,19,9,501b07aec9b8fc2d,0,0.0,1.0,0.0,1.0,4.0,4.0,106,0.037037037037037035,27.0,1.0,0,0.8333333333333334,6.0,5.0,0.10714285714285714,28.0,3.0,0,,0.875,8.0,7.0,0,0.0,0,,0,0.0,0,0,0,0.5483870967741935,62,34,3,,300,155,LW
a8ae2352-5fdd-4977-9e9b-97fdd64b19ee,14a8e72c-cd65-404b-8185-7d675b51b10c,2008-01-19T05:00:00.000+0000,1.0,5.0,5.0,1.0,2.0,2.0,122,0.08333333333333333,36.0,3.0,0,0.75,4.0,3.0,0.029411764705882353,34.0,1.0,0,,0.6666666666666666,3.0,2.0,0,0.0,0,,0,0.0,0,0,0,0.46153846153846156,65,30,58bc81376286b3d3,0,1.0,5.0,5.0,0.5,4.0,2.0,57,0.5833333333333334,12.0,7.0,0,0.0,0.0,0.0,0.25,8.0,2.0,0,,0.6666666666666666,3.0,2.0,0,0.0,0,,0,0.0,10,0,0,0.7083333333333334,24,17,1,,300,155,LW
23c105c5-91c6-40ed-b6d5-620748a95d3c,14a8e72c-cd65-404b-8185-7d675b51b10c,2008-01-19T05:00:00.000+0000,0.6666666666666666,3.0,2.0,0.6,5.0,3.0,104,0.11538461538461539,26.0,3.0,0,0.5294117647058824,17.0,9.0,0.16666666666666666,36.0,6.0,0,,0.7777777777777778,9.0,7.0,0,0.0,0,,0,0.0,0,0,0,0.3584905660377358,53,19,58bc81376286b3d3,0,1.0,4.0,4.0,0.5,4.0,2.0,66,0.5,10.0,5.0,0,0.0,0.0,0.0,0.125,8.0,1.0,0,,1.0,2.0,2.0,0,0.0,1,,0,0.1,10,1,0,0.6190476190476191,21,13,2,,300,155,LW
a07ba904-06f1-42c3-b866-ab53369ba6c8,14a8e72c-cd65-404b-8185-7d675b51b10c,2008-01-19T05:00:00.000+0000,0.0,1.0,0.0,1.0,4.0,4.0,106,0.037037037037037035,27.0,1.0,0,0.8333333333333334,6.0,5.0,0.10714285714285714,28.0,3.0,0,,0.875,8.0,7.0,0,0.0,0,,0,0.0,0,0,0,0.5483870967741935,62,34,58bc81376286b3d3,0,0.6666666666666666,3.0,2.0,1.0,2.0,2.0,59,0.18181818181818182,11.0,2.0,0,0.0,0.0,0.0,0.2,10.0,2.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.1,10,1,0,0.47368421052631576,19,9,3,,300,155,LW
8e8cd3a4-b80e-4c8e-b529-09265c17d6ae,78a8297d-cb45-4140-9680-557ef18aef7c,2008-01-19T05:00:00.000+0000,1.0,2.0,2.0,0.0,0.0,0.0,295,0.5,4.0,2.0,0,0.6875,16.0,11.0,0.6111111111111112,18.0,11.0,1,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.7380952380952381,42,31,79899ecf62020f6d,0,1.0,4.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8,10.0,8.0,0.6666666666666666,6.0,4.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.7741935483870968,31,24,1,,300,155,LW
1a6105c9-5392-4c54-a3d6-d13a9d3f0a1a,78a8297d-cb45-4140-9680-557ef18aef7c,2008-01-19T05:00:00.000+0000,1.0,1.0,1.0,0.5,2.0,1.0,98,0.5882352941176471,34.0,20.0,1,0.5384615384615384,13.0,7.0,0.5625,48.0,27.0,1,,0.0,0.0,0.0,0,1.0,1,,1,0.0,0,0,0,0.6349206349206349,63,40,79899ecf62020f6d,1,0.6666666666666666,3.0,2.0,1.0,2.0,2.0,0,0.2916666666666667,24.0,7.0,0,0.0,0.0,0.0,0.30434782608695654,23.0,7.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.34615384615384615,26,9,2,,242,155,LW
eee9745f-bc5a-4e44-81c4-6a469350ddb1,78a8297d-cb45-4140-9680-557ef18aef7c,2008-01-19T05:00:00.000+0000,1.0,4.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8,10.0,8.0,0.6666666666666666,6.0,4.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.7741935483870968,31,24,73c7cfa551289285,0,1.0,2.0,2.0,0.0,0.0,0.0,295,0.5,4.0,2.0,0,0.6875,16.0,11.0,0.6111111111111112,18.0,11.0,1,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.7380952380952381,42,31,1,,300,155,LW
2c739880-a364-4e87-8802-540336e8dc09,78a8297d-cb45-4140-9680-557ef18aef7c,2008-01-19T05:00:00.000+0000,0.6666666666666666,3.0,2.0,1.0,2.0,2.0,0,0.2916666666666667,24.0,7.0,0,0.0,0.0,0.0,0.30434782608695654,23.0,7.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.0,0,0,0,0.34615384615384615,26,9,73c7cfa551289285,1,1.0,1.0,1.0,0.5,2.0,1.0,98,0.5882352941176471,34.0,20.0,1,0.5384615384615384,13.0,7.0,0.5625,48.0,27.0,1,,0.0,0.0,0.0,0,1.0,1,,1,0.0,0,0,0,0.6349206349206349,63,40,2,,242,155,LW
