oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defControlTime,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offControlTime,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
3fd6030b-1ec6-438e-b916-426bd4faf9a7,71c3fd03-6753-4462-befe-1225b85bd676,2014-01-04T05:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0,0.8571428571428571,7.0,6.0,0.8571428571428571,7.0,6.0,0,,0.0,0.0,0.0,0,0.0,0,,0,1.0,2,2,0,0.88,50,44,0876d21328cf4a45,0,1.0,2.0,2.0,0.0,0.0,0.0,5,1.0,2.0,2.0,0,1.0,8.0,8.0,1.0,8.0,8.0,0,,0.0,0.0,0.0,1,0.0,0,,0,0.0,0,0,0,0.9387755102040817,49,46,1,,300,135,BW
da32ecd0-19b0-4292-9266-78321d8e2098,71c3fd03-6753-4462-befe-1225b85bd676,2014-01-04T05:00:00.000+0000,0.0,0.0,0.0,1.0,1.0,1.0,290,0.0,0.0,0.0,0,0.5,2.0,1.0,0.5,2.0,1.0,0,,1.0,1.0,1.0,0,0.0,0,,0,1.0,2,2,0,0.7407407407407407,27,20,0876d21328cf4a45,0,0.75,4.0,3.0,0.6666666666666666,3.0,2.0,0,1.0,1.0,1.0,0,0.6666666666666666,3.0,2.0,0.5,2.0,1.0,0,,1.0,1.0,1.0,0,0.0,0,,0,0.0,0,0,0,0.7931034482758621,29,23,2,,300,135,BW
dc55e523-9357-4eff-8580-bf148c34bddb,71c3fd03-6753-4462-befe-1225b85bd676,2014-01-04T05:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,257,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.6666666666666666,3,2,0,0.7407407407407407,27,20,0876d21328cf4a45,0,0.3333333333333333,3.0,1.0,1.0,3.0,3.0,0,0.35714285714285715,14.0,5.0,0,1.0,2.0,2.0,0.46153846153846156,13.0,6.0,0,,1.0,3.0,3.0,0,0.0,2,,0,0.0,0,0,0,0.6451612903225806,31,20,3,,300,135,BW
7ec6c978-531e-4891-8a2b-27b00fa364f1,71c3fd03-6753-4462-befe-1225b85bd676,2014-01-04T05:00:00.000+0000,1.0,2.0,2.0,0.0,0.0,0.0,5,1.0,2.0,2.0,0,1.0,8.0,8.0,1.0,8.0,8.0,0,,0.0,0.0,0.0,1,0.0,0,,0,0.0,0,0,0,0.9387755102040817,49,46,b9c03e7a4557e542,0,0.0,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0,0.8571428571428571,7.0,6.0,0.8571428571428571,7.0,6.0,0,,0.0,0.0,0.0,0,0.0,0,,0,1.0,2,2,0,0.88,50,44,1,,300,135,BW
29bb0faa-7dbd-417b-afab-51facb1a3d2b,71c3fd03-6753-4462-befe-1225b85bd676,2014-01-04T05:00:00.000+0000,0.75,4.0,3.0,0.6666666666666666,3.0,2.0,0,1.0,1.0,1.0,0,0.6666666666666666,3.0,2.0,0.5,2.0,1.0,0,,1.0,1.0,1.0,0,0.0,0,,0,0.0,0,0,0,0.7931034482758621,29,23,b9c03e7a4557e542,0,0.0,0.0,0.0,1.0,1.0,1.0,290,0.0,0.0,0.0,0,0.5,2.0,1.0,0.5,2.0,1.0,0,,1.0,1.0,1.0,0,0.0,0,,0,1.0,2,2,0,0.7407407407407407,27,20,2,,300,135,BW
caa0941b-e802-48b7-aae6-dff6dc115dbb,71c3fd03-6753-4462-befe-1225b85bd676,2014-01-04T05:00:00.000+0000,0.3333333333333333,3.0,1.0,1.0,3.0,3.0,0,0.35714285714285715,14.0,5.0,0,1.0,2.0,2.0,0.46153846153846156,13.0,6.0,0,,1.0,3.0,3.0,0,0.0,2,,0,0.0,0,0,0,0.6451612903225806,31,20,b9c03e7a4557e542,0,0.0,0.0,0.0,0.0,0.0,0.0,257,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0,,0.0,0.0,0.0,0,0.0,0,,0,0.6666666666666666,3,2,0,0.7407407407407407,27,20,3,,300,135,BW
9de30f36-c4a6-4eeb-b20d-33697088efef,4410b36c-be08-48a2-ba34-ac3b9830eaab,2014-01-04T05:00:00.000+0000,0.0,0.0,0.0,1.0,1.0,1.0,68,0.06666666666666667,15.0,1.0,0,1.0,3.0,3.0,0.23529411764705882,17.0,4.0,0,,0.5,2.0,1.0,0,0.0,1,,0,1.0,2,2,0,0.3,20,6,f50d95223751e6ca,0,0.0,0.0,0.0,0.6666666666666666,3.0,2.0,155,0.14285714285714285,14.0,2.0,0,0.6153846153846154,13.0,8.0,0.3793103448275862,29.0,11.0,0,,1.0,1.0,1.0,1,0.0,0,,0,0.0,0,0,0,0.6041666666666666,48,29,1,,300,135,BW
d139c31f-164a-4f90-bfee-0f70956a8c8b,4410b36c-be08-48a2-ba34-ac3b9830eaab,2014-01-04T05:00:00.000+0000,0.25,4.0,1.0,0.3333333333333333,3.0,1.0,22,0.34375,32.0,11.0,0,0.0,0.0,0.0,0.2857142857142857,28.0,8.0,0,,1.0,3.0,3.0,0,0.0,0,,0,0.0,8,0,0,0.34285714285714286,35,12,f50d95223751e6ca,1,1.0,3.0,3.0,0.7272727272727273,11.0,8.0,99,0.34375,32.0,11.0,1,0.9230769230769231,13.0,12.0,0.5192307692307693,52.0,27.0,0,,1.0,1.0,1.0,0,1.0,1,,1,0.0,0,0,0,0.6585365853658537,82,54,2,,299,135,BW
975de31e-81db-4144-af4a-9d5bbcf35a34,4410b36c-be08-48a2-ba34-ac3b9830eaab,2014-01-04T05:00:00.000+0000,0.0,0.0,0.0,0.6666666666666666,3.0,2.0,155,0.14285714285714285,14.0,2.0,0,0.6153846153846154,13.0,8.0,0.3793103448275862,29.0,11.0,0,,1.0,1.0,1.0,1,0.0,0,,0,0.0,0,0,0,0.6041666666666666,48,29,d1e1fdcea7c8a90a,0,0.0,0.0,0.0,1.0,1.0,1.0,68,0.06666666666666667,15.0,1.0,0,1.0,3.0,3.0,0.23529411764705882,17.0,4.0,0,,0.5,2.0,1.0,0,0.0,1,,0,1.0,2,2,0,0.3,20,6,1,,300,135,BW
1c354a05-7f72-48fd-89bb-08721309b57e,4410b36c-be08-48a2-ba34-ac3b9830eaab,2014-01-04T05:00:00.000+0000,1.0,3.0,3.0,0.7272727272727273,11.0,8.0,99,0.34375,32.0,11.0,1,0.9230769230769231,13.0,12.0,0.5192307692307693,52.0,27.0,0,,1.0,1.0,1.0,0,1.0,1,,1,0.0,0,0,0,0.6585365853658537,82,54,d1e1fdcea7c8a90a,1,0.25,4.0,1.0,0.3333333333333333,3.0,1.0,22,0.34375,32.0,11.0,0,0.0,0.0,0.0,0.2857142857142857,28.0,8.0,0,,1.0,3.0,3.0,0,0.0,0,,0,0.0,8,0,0,0.34285714285714286,35,12,2,,299,135,BW
