oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defPassSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offPassSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
806a5f7f-91c3-4d98-a338-501615fdfe9f,fd034422-5ddf-4e57-a6d7-521fed037115,2014-10-04T04:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,0,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,0,0.024008502576676947,0.0,0.0,0.0,0,0,0.0,0,0.0035322827524732555,0,0.0,0,0,0,0.3333333333333333,6,2,99df7d0a2a08a8a8,1,0.5,2.0,1.0,0.0,0.0,0.0,0.5,12.0,6.0,1,0.875,8.0,7.0,0.6,15.0,9.0,0,0.6610414272934347,1.0,3.0,3.0,0,0,0.0,0,0.015444056018388476,0,0.0,0,0,1,0.6666666666666666,21,14,1,,118,205,LHW
5fa61a2f-bcc0-4d96-8132-38a31196ad6a,fd034422-5ddf-4e57-a6d7-521fed037115,2014-10-04T04:00:00.000+0000,0.5,2.0,1.0,0.0,0.0,0.0,0.5,12.0,6.0,1,0.875,8.0,7.0,0.6,15.0,9.0,0,0.6610414272934347,1.0,3.0,3.0,0,0,0.0,0,0.015444056018388476,0,0.0,0,0,1,0.6666666666666666,21,14,e9a3aeb207578eea,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,0,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,0,0.024008502576676947,0.0,0.0,0.0,0,0,0.0,0,0.0035322827524732555,0,0.0,0,0,0,0.3333333333333333,6,2,1,,118,205,LHW
02350801-4dcf-49fa-a7bc-4b7e0634ddab,a9436a14-570b-4e38-8fca-4ff1f25a979f,2014-10-04T04:00:00.000+0000,0.0,0.0,0.0,1.0,2.0,2.0,0.5,10.0,5.0,0,0.0,0.0,0.0,0.4444444444444444,9.0,4.0,0,0.028227372643543976,1.0,3.0,3.0,0,0,0.0,0,0.004174681090673787,0,0.0,0,0,0,0.5833333333333334,12,7,cfaf010d5b389c09,1,0.0,1.0,0.0,0.0,0.0,0.0,0.3,10.0,3.0,1,0.6,5.0,3.0,0.3333333333333333,12.0,4.0,1,0.9391290028508248,1.0,2.0,2.0,0,0,0.0,0,0.022326435440397068,0,0.0,1,0,1,0.4375,16,7,1,,79,145,FFW
5a9166a4-f98f-47c1-8831-502f1d449f51,a9436a14-570b-4e38-8fca-4ff1f25a979f,2014-10-04T04:00:00.000+0000,0.0,1.0,0.0,0.0,0.0,0.0,0.3,10.0,3.0,1,0.6,5.0,3.0,0.3333333333333333,12.0,4.0,1,0.9391290028508248,1.0,2.0,2.0,0,0,0.0,0,0.022326435440397068,0,0.0,1,0,1,0.4375,16,7,39cc64bf0a269db9,1,0.0,0.0,0.0,1.0,2.0,2.0,0.5,10.0,5.0,0,0.0,0.0,0.0,0.4444444444444444,9.0,4.0,0,0.028227372643543976,1.0,3.0,3.0,0,0,0.0,0,0.004174681090673787,0,0.0,0,0,0,0.5833333333333334,12,7,1,,79,145,FFW
bd884f05-e49c-405f-980e-01378db1a890,7163f99c-5b08-4bab-83ff-20922923eb51,2014-10-04T04:00:00.000+0000,0.75,4.0,3.0,1.0,6.0,6.0,0.4,5.0,2.0,0,0.0,0.0,0.0,0.6,5.0,3.0,0,0.0047669170025788,1.0,2.0,2.0,0,0,0.0,0,0.0017104085979473172,0,0.5,2,1,0,0.9375,48,45,06827d70c53ff0d9,0,0.875,8.0,7.0,0.9166666666666666,24.0,22.0,0.7142857142857143,7.0,5.0,0,0.0,0.0,0.0,0.7692307692307693,13.0,10.0,1,0.931953508143937,1.0,10.0,10.0,0,0,0.0,0,0.002395210914063528,0,0.0,1,0,0,0.9047619047619048,42,38,2,,300,185,MW
d0bff267-49f5-4ab3-92c5-6baa10f807b4,7163f99c-5b08-4bab-83ff-20922923eb51,2014-10-04T04:00:00.000+0000,1.0,2.0,2.0,1.0,4.0,4.0,0.8333333333333334,6.0,5.0,0,0.0,1.0,0.0,0.5,4.0,2.0,0,0.005416436108652226,1.0,5.0,5.0,0,0,0.0,0,0.0013986505621406268,0,0.5,2,1,0,0.96875,64,62,06827d70c53ff0d9,0,1.0,2.0,2.0,0.0,0.0,0.0,0.7,10.0,7.0,0,0.0,0.0,0.0,0.5,4.0,2.0,0,0.008503654767600129,0.75,4.0,3.0,0,0,0.0,0,0.001193006033284284,0,0.0,0,0,0,0.9,30,27,1,,300,185,MW
d88e0aef-c603-437d-bf0b-4b84c3f7bcb8,7163f99c-5b08-4bab-83ff-20922923eb51,2014-10-04T04:00:00.000+0000,0.0,1.0,0.0,0.3333333333333333,3.0,1.0,0.42857142857142855,7.0,3.0,0,1.0,2.0,2.0,0.5,10.0,5.0,0,0.03310292074946444,1.0,1.0,1.0,1,0,0.0,0,0.006079672931897857,0,0.5,2,1,0,0.8888888888888888,81,72,06827d70c53ff0d9,0,0.75,4.0,3.0,1.0,2.0,2.0,0.6666666666666666,6.0,4.0,0,1.0,2.0,2.0,0.8,5.0,4.0,0,0.03759095073202526,1.0,1.0,1.0,0,0,0.0,0,0.0009278516633042997,0,0.0,0,0,0,0.9130434782608695,23,21,3,,300,185,MW
4f7c590d-0c7f-4f7f-9fe5-8e0fc4e7b17a,7163f99c-5b08-4bab-83ff-20922923eb51,2014-10-04T04:00:00.000+0000,1.0,2.0,2.0,0.0,0.0,0.0,0.7,10.0,7.0,0,0.0,0.0,0.0,0.5,4.0,2.0,0,0.008503654767600129,0.75,4.0,3.0,0,0,0.0,0,0.001193006033284284,0,0.0,0,0,0,0.9,30,27,0e21976afc92e4d1,0,1.0,2.0,2.0,1.0,4.0,4.0,0.8333333333333334,6.0,5.0,0,0.0,1.0,0.0,0.5,4.0,2.0,0,0.005416436108652226,1.0,5.0,5.0,0,0,0.0,0,0.0013986505621406268,0,0.5,2,1,0,0.96875,64,62,1,,300,185,MW
b7407cdf-4cf8-428d-bb69-8b8b304a6e55,7163f99c-5b08-4bab-83ff-20922923eb51,2014-10-04T04:00:00.000+0000,0.875,8.0,7.0,0.9166666666666666,24.0,22.0,0.7142857142857143,7.0,5.0,0,0.0,0.0,0.0,0.7692307692307693,13.0,10.0,1,0.931953508143937,1.0,10.0,10.0,0,0,0.0,0,0.002395210914063528,0,0.0,1,0,0,0.9047619047619048,42,38,0e21976afc92e4d1,0,0.75,4.0,3.0,1.0,6.0,6.0,0.4,5.0,2.0,0,0.0,0.0,0.0,0.6,5.0,3.0,0,0.0047669170025788,1.0,2.0,2.0,0,0,0.0,0,0.0017104085979473172,0,0.5,2,1,0,0.9375,48,45,2,,300,185,MW
0ebfca7d-0675-48f0-a330-cf39b14f1fca,7163f99c-5b08-4bab-83ff-20922923eb51,2014-10-04T04:00:00.000+0000,0.75,4.0,3.0,1.0,2.0,2.0,0.6666666666666666,6.0,4.0,0,1.0,2.0,2.0,0.8,5.0,4.0,0,0.03759095073202526,1.0,1.0,1.0,0,0,0.0,0,0.0009278516633042997,0,0.0,0,0,0,0.9130434782608695,23,21,0e21976afc92e4d1,0,0.0,1.0,0.0,0.3333333333333333,3.0,1.0,0.42857142857142855,7.0,3.0,0,1.0,2.0,2.0,0.5,10.0,5.0,0,0.03310292074946444,1.0,1.0,1.0,1,0,0.0,0,0.006079672931897857,0,0.5,2,1,0,0.8888888888888888,81,72,3,,300,185,MW
