oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defPassSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offPassSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
4d525fea-ade0-4ceb-bcbf-93f92cb3bb7f,7117afb6-98d5-431b-910c-12f707eff191,2019-09-14T04:00:00.000+0000,0.6666666666666666,6.0,4.0,0.0,0.0,0.0,0.3269230769230769,52.0,17.0,0,0.0,0.0,0.0,0.26666666666666666,45.0,12.0,0,0.016275017817283886,1.0,1.0,1.0,0,0,0.0,0,0.00669772909358757,0,0.0,0,0,0,0.3269230769230769,52,17,9e8f6c728eb01124,1,0.0,2.0,0.0,0.6666666666666666,3.0,2.0,0.6545454545454545,55.0,36.0,1,0.6666666666666666,3.0,2.0,0.6136363636363636,44.0,27.0,1,0.9536486376692388,0.8666666666666667,15.0,13.0,0,0,0.0,0,0.010716716419393176,0,0.0,0,0,1,0.6557377049180327,61,40,1,7.0,258,155,LW
838ca618-88e9-4615-8c34-483a6747f885,7117afb6-98d5-431b-910c-12f707eff191,2019-09-14T04:00:00.000+0000,0.0,2.0,0.0,0.6666666666666666,3.0,2.0,0.6545454545454545,55.0,36.0,1,0.6666666666666666,3.0,2.0,0.6136363636363636,44.0,27.0,1,0.9536486376692388,0.8666666666666667,15.0,13.0,0,0,0.0,0,0.010716716419393176,0,0.0,0,0,1,0.6557377049180327,61,40,1d00756835ca67c9,1,0.6666666666666666,6.0,4.0,0.0,0.0,0.0,0.3269230769230769,52.0,17.0,0,0.0,0.0,0.0,0.26666666666666666,45.0,12.0,0,0.016275017817283886,1.0,1.0,1.0,0,0,0.0,0,0.00669772909358757,0,0.0,0,0,0,0.3269230769230769,52,17,1,-7.0,258,155,LW
16d1c2a9-8fe9-4b5d-90be-3182b6b2f9eb,1b9f8a22-c7d6-4424-ae8e-4e7474b04dfd,2019-09-14T04:00:00.000+0000,0.8333333333333334,6.0,5.0,0.75,12.0,9.0,0.37254901960784315,51.0,19.0,0,0.6666666666666666,3.0,2.0,0.4166666666666667,60.0,25.0,1,0.9666018138114582,0.0,0.0,0.0,0,0,0.0,0,0.03547480952061997,0,0.3333333333333333,3,1,0,0.5135135135135135,74,38,6a11e325aa60ad02,0,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,0.6086956521739131,23.0,14.0,0,0.0,0.0,0.0,0.5,24.0,12.0,0,0.06912551339476868,0.8,5.0,4.0,0,0,0.0,0,0.003721109064431823,0,0.0,0,0,0,0.6666666666666666,39,26,1,0.0,243,265,HW
9a091280-53ee-410b-8df1-3c3a2d70b8e9,1b9f8a22-c7d6-4424-ae8e-4e7474b04dfd,2019-09-14T04:00:00.000+0000,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,0.6086956521739131,23.0,14.0,0,0.0,0.0,0.0,0.5,24.0,12.0,0,0.06912551339476868,0.8,5.0,4.0,0,0,0.0,0,0.003721109064431823,0,0.0,0,0,0,0.6666666666666666,39,26,bda04c573563cc2e,0,0.8333333333333334,6.0,5.0,0.75,12.0,9.0,0.37254901960784315,51.0,19.0,0,0.6666666666666666,3.0,2.0,0.4166666666666667,60.0,25.0,1,0.9666018138114582,0.0,0.0,0.0,0,0,0.0,0,0.03547480952061997,0,0.3333333333333333,3,1,0,0.5135135135135135,74,38,1,0.0,243,265,HW
9a75a38e-393a-412b-92f1-1ef1c841b276,4a4eadde-c1df-4438-9e2c-62c30c8b7327,2019-09-14T04:00:00.000+0000,1.0,2.0,2.0,0.6666666666666666,3.0,2.0,0.3333333333333333,3.0,1.0,1,0.75,4.0,3.0,0.5,8.0,4.0,0,0.02101883634016974,0.0,0.0,0.0,4,2,1.0,1,0.9238480972648817,1,0.5,2,1,0,0.7586206896551724,29,22,70e1f8a821b72c8b,1,1.0,2.0,2.0,0.8,5.0,4.0,0.6666666666666666,3.0,2.0,0,0.5555555555555556,27.0,15.0,0.5757575757575758,33.0,19.0,0,0.608398771817284,0.0,0.0,0.0,0,1,0.0,0,0.0046574153603458224,0,0.0,0,0,0,0.6222222222222222,45,28,1,-7.0,218,205,LHW
2a4dcdaa-fd99-4773-9926-71daba689df5,4a4eadde-c1df-4438-9e2c-62c30c8b7327,2019-09-14T04:00:00.000+0000,1.0,2.0,2.0,0.8,5.0,4.0,0.6666666666666666,3.0,2.0,0,0.5555555555555556,27.0,15.0,0.5757575757575758,33.0,19.0,0,0.608398771817284,0.0,0.0,0.0,0,1,0.0,0,0.0046574153603458224,0,0.0,0,0,0,0.6222222222222222,45,28,67f272324a030d00,1,1.0,2.0,2.0,0.6666666666666666,3.0,2.0,0.3333333333333333,3.0,1.0,1,0.75,4.0,3.0,0.5,8.0,4.0,0,0.02101883634016974,0.0,0.0,0.0,4,2,1.0,1,0.9238480972648817,1,0.5,2,1,0,0.7586206896551724,29,22,1,7.0,218,205,LHW
71f4c0b3-6316-4c9f-aea4-8e840207f3c2,ec6dba14-8592-46f3-a372-31822b7a73fe,2019-09-14T04:00:00.000+0000,1.0,1.0,1.0,0.0,0.0,0.0,0.8571428571428571,7.0,6.0,0,0.0,0.0,0.0,0.5,2.0,1.0,0,0.018689126039902432,1.0,4.0,4.0,0,0,0.0,0,0.0016537093534604841,0,0.0,0,0,0,0.8571428571428571,7,6,441eacbe20e0e80b,1,1.0,2.0,2.0,1.0,7.0,7.0,0.3333333333333333,18.0,6.0,1,1.0,2.0,2.0,0.52,25.0,13.0,1,0.9995068183020276,0.0,0.0,0.0,0,0,0.0,0,0.021671425248638593,0,0.0,0,0,1,0.5555555555555556,27,15,1,7.0,59,265,HW
9d1a303b-1419-4b50-b049-c697a4409cde,ec6dba14-8592-46f3-a372-31822b7a73fe,2019-09-14T04:00:00.000+0000,1.0,2.0,2.0,1.0,7.0,7.0,0.3333333333333333,18.0,6.0,1,1.0,2.0,2.0,0.52,25.0,13.0,1,0.9995068183020276,0.0,0.0,0.0,0,0,0.0,0,0.021671425248638593,0,0.0,0,0,1,0.5555555555555556,27,15,c9cf753cfdf77fc2,1,1.0,1.0,1.0,0.0,0.0,0.0,0.8571428571428571,7.0,6.0,0,0.0,0.0,0.0,0.5,2.0,1.0,0,0.018689126039902432,1.0,4.0,4.0,0,0,0.0,0,0.0016537093534604841,0,0.0,0,0,0,0.8571428571428571,7,6,1,-7.0,59,265,HW
50627fb4-ce64-4be4-b13e-1e7da4bf3c4b,e779761d-3e55-420c-9eab-67f8bc8ba710,2019-09-14T04:00:00.000+0000,0.5961538461538461,52.0,31.0,0.6666666666666666,3.0,2.0,0.5089285714285714,112.0,57.0,1,0.0,0.0,0.0,0.4426229508196721,61.0,27.0,1,0.8310658789544169,0.5,2.0,1.0,0,0,0.0,0,0.011455018513908512,0,0.0,0,0,1,0.5172413793103449,116,60,35e1f9984ed64206,1,0.5454545454545454,11.0,6.0,0.0,1.0,0.0,0.379746835443038,79.0,30.0,0,0.0,0.0,0.0,0.3076923076923077,65.0,20.0,0,0.06301987618687334,1.0,4.0,4.0,0,0,0.0,0,0.006627761396820702,0,0.0,0,0,0,0.38271604938271603,81,31,1,-7.0,283,135,BW
c03e43b6-912e-43fa-ba6d-75c0a9ec2dbc,e779761d-3e55-420c-9eab-67f8bc8ba710,2019-09-14T04:00:00.000+0000,0.5454545454545454,11.0,6.0,0.0,1.0,0.0,0.379746835443038,79.0,30.0,0,0.0,0.0,0.0,0.3076923076923077,65.0,20.0,0,0.06301987618687334,1.0,4.0,4.0,0,0,0.0,0,0.006627761396820702,0,0.0,0,0,0,0.38271604938271603,81,31,d2bc285ead803db0,1,0.5961538461538461,52.0,31.0,0.6666666666666666,3.0,2.0,0.5089285714285714,112.0,57.0,1,0.0,0.0,0.0,0.4426229508196721,61.0,27.0,1,0.8310658789544169,0.5,2.0,1.0,0,0,0.0,0,0.011455018513908512,0,0.0,0,0,1,0.5172413793103449,116,60,1,7.0,283,135,BW
