oid,date,offFinish,offKoScore,offSubmissionScore,round,weight,weightClass,gender,class
3df3fd63-f3e9-4d69-a554-58e006ce1822,2005-11-05T05:00:00.000+0000,0,0.004958468347772614,0.08917318657636722,3,170,WW,M,WW
9484f40a-2fd5-4310-a159-f28bdf543375,2005-11-05T05:00:00.000+0000,0,0.002043418433720063,0.00282608343532864,1,170,WW,M,WW
c11925df-2955-419a-ad47-c2010c058104,2005-11-05T05:00:00.000+0000,0,0.0021307268391562843,0.0013166911864573325,2,170,WW,M,WW
09bd6278-200d-47b0-bb5d-af89b1220939,2005-11-05T05:00:00.000+0000,0,0.2010137102634918,0.004877279536664885,2,170,WW,M,WW
da200847-950c-41c7-9315-eed55e0d2fc3,2005-11-05T05:00:00.000+0000,0,0.08430855459956968,0.4764489841401331,3,170,WW,M,WW
db0a94fc-db20-49f2-91d6-0a89da5ad5e4,2005-11-05T05:00:00.000+0000,0,0.4618869190771466,0.013177778998687979,1,170,WW,M,WW
a52c86fc-d528-44c0-9232-59e7dbe93848,2006-12-13T05:00:00.000+0000,0,0.023343350977399403,0.0037645167391881108,1,170,WW,M,WW
22b65b3e-2916-4183-8852-e7ea4b4acd5d,2006-12-13T05:00:00.000+0000,1,0.9669908242645036,0.02078247794500572,1,170,WW,M,WW
33fbf85d-1f3b-4048-80aa-b7d725d2a465,2006-06-24T04:00:00.000+0000,0,0.025144192376259592,0.003929917158251257,1,155,LW,M,LW
28d4da7d-1f65-48dd-b6c9-e519c884d797,2006-06-24T04:00:00.000+0000,1,0.3490993333264894,0.9939096448150284,1,155,LW,M,LW
df534bab-8c3e-4cac-9898-d8bccaf95aec,2006-11-18T05:00:00.000+0000,0,0.008611604338179668,0.006876444549953975,1,170,WW,M,WW
87c63aa8-d5a1-4baf-8554-96749f27659c,2006-11-18T05:00:00.000+0000,0,0.016591778023180046,0.004378751946159971,2,170,WW,M,WW
af344a5f-597b-489d-9d43-ab12c8af718b,2006-11-18T05:00:00.000+0000,0,0.9709486856037874,0.07469758762980418,1,170,WW,M,WW
fbce90ca-33bc-47ff-83c9-f740b0a18d86,2006-11-18T05:00:00.000+0000,1,0.995582236682818,0.018362314286841337,2,170,WW,M,WW
50ecfb68-88a1-434a-9f26-d595c6eb91ae,2006-10-14T04:00:00.000+0000,1,0.9526968136050704,0.00368955923826581,1,185,MW,M,MW
6d51c758-1d87-4bcf-8d5b-361c725bf966,2006-10-14T04:00:00.000+0000,0,0.03575147853379506,0.003564564157782712,1,185,MW,M,MW
475dd3b4-f778-4232-8723-234696263770,2006-10-14T04:00:00.000+0000,0,0.00025120384160767247,0.0018987798252966524,3,155,LW,M,LW
f971a416-4090-4616-8534-15335e067b20,2006-10-14T04:00:00.000+0000,0,0.00646472730200322,0.0009027341182369363,4,155,LW,M,LW
a149c8f1-51d7-4472-9d2d-034a3188a1c3,2006-10-14T04:00:00.000+0000,0,0.00479458548538143,0.02927701414902575,1,155,LW,M,LW
768c40a9-4c2d-44fc-b408-f2a690191b70,2006-10-14T04:00:00.000+0000,0,0.04092314073807762,0.0021603650451593017,2,155,LW,M,LW
72e50a85-0f63-4466-8e52-2e0f856172b9,2006-10-14T04:00:00.000+0000,0,0.017133902878604543,0.6418684760753272,5,155,LW,M,LW
23c03dc3-7ba1-4f4f-9eb1-c2199d600a77,2006-10-14T04:00:00.000+0000,0,0.4547845736513389,0.546535182415496,1,155,LW,M,LW
e5e2c763-28e6-41d6-987f-8b55a3e69719,2006-10-14T04:00:00.000+0000,0,0.006425894538717976,0.012772381264230252,2,155,LW,M,LW
c635f729-5ae8-4649-a299-3224c421f46b,2006-10-14T04:00:00.000+0000,0,0.27710790702934435,0.009962302998805458,3,155,LW,M,LW
4ee77319-6571-4610-b2da-8c7238b4acb4,2006-10-14T04:00:00.000+0000,0,0.4504449280695344,0.038107281267103804,4,155,LW,M,LW
18fb2996-dadf-4b3e-b551-892b7d544cc4,2006-10-14T04:00:00.000+0000,0,0.07950995101466808,0.0200574113509548,5,155,LW,M,LW
954ec5fb-06a7-4a1b-b817-7f7b1aa3ad8e,2006-09-23T04:00:00.000+0000,0,0.007557444742225667,0.8768655163698478,2,170,WW,M,WW
8bbf2b38-2477-4670-87e8-a5e37db4e412,2006-09-23T04:00:00.000+0000,0,0.016003447553019464,0.003897446675954221,3,170,WW,M,WW
8ab40eb0-d33c-4f11-8964-d65b239a02bf,2006-09-23T04:00:00.000+0000,0,0.02489516104063557,0.006531009911020672,1,170,WW,M,WW
725eef60-2496-4c18-bd99-6db2e2ee766d,2006-09-23T04:00:00.000+0000,0,0.045175682948155486,0.010208211506020958,1,170,WW,M,WW
3289374e-59df-4b8b-8e2a-a933ad639ee1,2006-09-23T04:00:00.000+0000,0,0.0291920336885392,0.003990907029416537,2,170,WW,M,WW
98c38809-83a8-46ae-82a9-a45ea897630e,2006-09-23T04:00:00.000+0000,1,0.2806618679067313,0.035361593771036,3,170,WW,M,WW
ed75c222-f79d-4c48-a87e-d91ac75ce655,2007-09-08T04:00:00.000+0000,0,0.5088517750664868,0.08316801965029431,1,205,LHW,M,LHW
4570f5d0-8f7e-4433-810f-225c0174e826,2007-09-08T04:00:00.000+0000,0,0.03271352978864638,0.022440301106304884,2,205,LHW,M,LHW
e397ceb5-fcf9-4bde-bd16-acab3a1edc05,2007-09-08T04:00:00.000+0000,0,0.06938585978437697,0.041652367864514254,3,205,LHW,M,LHW
ef500629-5e07-48cd-91c7-1c0324d537dc,2007-09-08T04:00:00.000+0000,0,0.030017984294926824,0.012145965874786141,1,205,LHW,M,LHW
34495904-e5ae-40c0-8429-d1d106fae11b,2007-09-08T04:00:00.000+0000,0,0.07343767025251821,0.011130375995041448,2,205,LHW,M,LHW
bc9f24c8-0ca5-4f4d-a54c-b32f6551bf82,2007-09-08T04:00:00.000+0000,0,0.05646804393380581,0.007385263893127795,3,205,LHW,M,LHW
6fcf9f73-1566-496c-8f47-92783b0d8528,2007-09-08T04:00:00.000+0000,0,0.2462026915503785,0.022216498877019125,1,265,HW,M,HW
b129b76c-0e06-4d2f-9a88-c479ad4d7a6e,2007-09-08T04:00:00.000+0000,0,0.0004124742009046444,0.002298393654118835,2,265,HW,M,HW
da360965-6404-4980-964a-64e4ac4a00dd,2007-09-08T04:00:00.000+0000,0,0.022197652112421702,0.003516790791006273,3,265,HW,M,HW
dc518703-64ac-4b02-925e-d2af0e6e9402,2007-09-08T04:00:00.000+0000,0,0.0004218983281628589,0.0019060354563455641,1,265,HW,M,HW
089e6f11-2872-427a-b085-d5f8157a0fa0,2007-09-08T04:00:00.000+0000,0,0.22369581868508756,0.07826508989980956,2,265,HW,M,HW
8dcef117-2bf7-47b9-b04d-78cd910b3cf5,2007-09-08T04:00:00.000+0000,0,0.2631419147570989,0.013852590288889952,3,265,HW,M,HW
825457ad-ee91-47a4-94c4-ce04075ca6dd,2007-09-08T04:00:00.000+0000,0,0.01792620669725794,0.6102249797547791,4,205,LHW,M,LHW
628a14bd-5aeb-461b-8a07-31457d0acd8d,2007-09-08T04:00:00.000+0000,0,0.046096474062019374,0.007540278079322262,5,205,LHW,M,LHW
88b2aa8b-709d-49a7-b386-de85bd64ab68,2007-09-08T04:00:00.000+0000,0,0.7056367931146371,0.01070360121438887,1,205,LHW,M,LHW
bb83240f-3bd9-4b93-bef3-a96986b72a64,2007-09-08T04:00:00.000+0000,0,0.0051559690905397726,0.0031013155254889465,2,205,LHW,M,LHW
4fd6c34e-fb01-4ec8-bcb8-07e4a656e41e,2007-09-08T04:00:00.000+0000,0,0.07115007667300903,0.634869954213867,3,205,LHW,M,LHW
d39e705d-fde0-4fd3-9aac-a1e4c8764135,2007-09-08T04:00:00.000+0000,0,0.035235647055339034,0.013400948545987194,3,205,LHW,M,LHW
4e0baea6-3a7e-44af-aea6-a1528b47ed00,2007-09-08T04:00:00.000+0000,0,0.0031575613474898586,0.001989973019449167,1,205,LHW,M,LHW
024b1df6-1568-4df8-b403-6f509e9f7a33,2007-09-08T04:00:00.000+0000,0,0.07032530924264029,0.007672326265526953,2,205,LHW,M,LHW
1faa332b-bb17-46ce-b1fa-0a91588daed7,2007-09-08T04:00:00.000+0000,0,0.1209059241307343,0.009362534698904931,5,205,LHW,M,LHW
083e749d-1a51-4c50-85b9-7bd0ff54e4ab,2007-09-08T04:00:00.000+0000,0,0.7040393496710144,0.041512478910535416,4,205,LHW,M,LHW
e7b0032a-223b-40e2-b1c8-baa9b4832bfa,2007-12-29T05:00:00.000+0000,0,0.019789289331230853,0.001982192522316495,1,170,WW,M,WW
80391b96-b723-4797-8331-ccb51032b8e1,2007-12-29T05:00:00.000+0000,0,0.025295182738558804,0.0015322837776550453,2,170,WW,M,WW
4a619d7b-5d8e-42cf-8c27-1bd0c7a7fb74,2007-12-29T05:00:00.000+0000,1,0.06533556398739762,0.9811391945481124,2,170,WW,M,WW
ee9c0f8c-2d5b-4dae-98e4-755c428aeb26,2007-12-29T05:00:00.000+0000,0,0.2557453591099609,0.9382070563931898,1,170,WW,M,WW
99d60868-67b0-4281-9040-f0a22610198a,2007-11-17T05:00:00.000+0000,0,0.07845378086022026,0.012572690371616565,2,205,LHW,M,LHW
0341bd77-dcd3-412f-96af-95740dc3dce1,2007-11-17T05:00:00.000+0000,0,0.0369885957291443,0.006176836609214022,3,205,LHW,M,LHW
