oid,date,offSubmissionScore,offSubmissionSuccessful,round,weight,weightClass,gender,class
3df3fd63-f3e9-4d69-a554-58e006ce1822,2005-11-05T05:00:00.000+0000,0.08917318657636722,0,3,170,WW,M,WW
9484f40a-2fd5-4310-a159-f28bdf543375,2005-11-05T05:00:00.000+0000,0.00282608343532864,0,1,170,WW,M,WW
c11925df-2955-419a-ad47-c2010c058104,2005-11-05T05:00:00.000+0000,0.0013166911864573325,0,2,170,WW,M,WW
09bd6278-200d-47b0-bb5d-af89b1220939,2005-11-05T05:00:00.000+0000,0.004877279536664885,0,2,170,WW,M,WW
da200847-950c-41c7-9315-eed55e0d2fc3,2005-11-05T05:00:00.000+0000,0.4764489841401331,0,3,170,WW,M,WW
db0a94fc-db20-49f2-91d6-0a89da5ad5e4,2005-11-05T05:00:00.000+0000,0.013177778998687979,0,1,170,WW,M,WW
a52c86fc-d528-44c0-9232-59e7dbe93848,2006-12-13T05:00:00.000+0000,0.0037645167391881108,0,1,170,WW,M,WW
22b65b3e-2916-4183-8852-e7ea4b4acd5d,2006-12-13T05:00:00.000+0000,0.02078247794500572,0,1,170,WW,M,WW
33fbf85d-1f3b-4048-80aa-b7d725d2a465,2006-06-24T04:00:00.000+0000,0.003929917158251257,0,1,155,LW,M,LW
28d4da7d-1f65-48dd-b6c9-e519c884d797,2006-06-24T04:00:00.000+0000,0.9939096448150284,1,1,155,LW,M,LW
df534bab-8c3e-4cac-9898-d8bccaf95aec,2006-11-18T05:00:00.000+0000,0.006876444549953975,0,1,170,WW,M,WW
87c63aa8-d5a1-4baf-8554-96749f27659c,2006-11-18T05:00:00.000+0000,0.004378751946159971,0,2,170,WW,M,WW
af344a5f-597b-489d-9d43-ab12c8af718b,2006-11-18T05:00:00.000+0000,0.07469758762980418,0,1,170,WW,M,WW
fbce90ca-33bc-47ff-83c9-f740b0a18d86,2006-11-18T05:00:00.000+0000,0.018362314286841337,0,2,170,WW,M,WW
50ecfb68-88a1-434a-9f26-d595c6eb91ae,2006-10-14T04:00:00.000+0000,0.00368955923826581,0,1,185,MW,M,MW
6d51c758-1d87-4bcf-8d5b-361c725bf966,2006-10-14T04:00:00.000+0000,0.003564564157782712,0,1,185,MW,M,MW
475dd3b4-f778-4232-8723-234696263770,2006-10-14T04:00:00.000+0000,0.0018987798252966524,0,3,155,LW,M,LW
f971a416-4090-4616-8534-15335e067b20,2006-10-14T04:00:00.000+0000,0.0009027341182369363,0,4,155,LW,M,LW
a149c8f1-51d7-4472-9d2d-034a3188a1c3,2006-10-14T04:00:00.000+0000,0.02927701414902575,0,1,155,LW,M,LW
768c40a9-4c2d-44fc-b408-f2a690191b70,2006-10-14T04:00:00.000+0000,0.0021603650451593017,0,2,155,LW,M,LW
72e50a85-0f63-4466-8e52-2e0f856172b9,2006-10-14T04:00:00.000+0000,0.6418684760753272,0,5,155,LW,M,LW
23c03dc3-7ba1-4f4f-9eb1-c2199d600a77,2006-10-14T04:00:00.000+0000,0.546535182415496,0,1,155,LW,M,LW
e5e2c763-28e6-41d6-987f-8b55a3e69719,2006-10-14T04:00:00.000+0000,0.012772381264230252,0,2,155,LW,M,LW
c635f729-5ae8-4649-a299-3224c421f46b,2006-10-14T04:00:00.000+0000,0.009962302998805458,0,3,155,LW,M,LW
4ee77319-6571-4610-b2da-8c7238b4acb4,2006-10-14T04:00:00.000+0000,0.038107281267103804,0,4,155,LW,M,LW
18fb2996-dadf-4b3e-b551-892b7d544cc4,2006-10-14T04:00:00.000+0000,0.0200574113509548,0,5,155,LW,M,LW
954ec5fb-06a7-4a1b-b817-7f7b1aa3ad8e,2006-09-23T04:00:00.000+0000,0.8768655163698478,0,2,170,WW,M,WW
8bbf2b38-2477-4670-87e8-a5e37db4e412,2006-09-23T04:00:00.000+0000,0.003897446675954221,0,3,170,WW,M,WW
8ab40eb0-d33c-4f11-8964-d65b239a02bf,2006-09-23T04:00:00.000+0000,0.006531009911020672,0,1,170,WW,M,WW
725eef60-2496-4c18-bd99-6db2e2ee766d,2006-09-23T04:00:00.000+0000,0.010208211506020958,0,1,170,WW,M,WW
3289374e-59df-4b8b-8e2a-a933ad639ee1,2006-09-23T04:00:00.000+0000,0.003990907029416537,0,2,170,WW,M,WW
98c38809-83a8-46ae-82a9-a45ea897630e,2006-09-23T04:00:00.000+0000,0.035361593771036,0,3,170,WW,M,WW
ed75c222-f79d-4c48-a87e-d91ac75ce655,2007-09-08T04:00:00.000+0000,0.08316801965029431,0,1,205,LHW,M,LHW
4570f5d0-8f7e-4433-810f-225c0174e826,2007-09-08T04:00:00.000+0000,0.022440301106304884,0,2,205,LHW,M,LHW
e397ceb5-fcf9-4bde-bd16-acab3a1edc05,2007-09-08T04:00:00.000+0000,0.041652367864514254,0,3,205,LHW,M,LHW
