oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defPassSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offPassSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
c6ec7a58-7d8f-40bc-a298-d1e44c1874cc,1c7a5110-8314-4ed7-a014-ca349fe91f1a,2010-12-04T05:00:00.000+0000,0.9090909090909091,11.0,10.0,0.75,8.0,6.0,0.0,7.0,0.0,0,0.7777777777777778,9.0,7.0,0.23076923076923078,13.0,3.0,0,0.04881793943790115,0.0,0.0,0.0,3,1,0.0,1,0.9438103430258804,0,1.0,1,1,0,0.6511627906976745,43,28,53278852bcd91e11,0,1.0,2.0,2.0,0.6,5.0,3.0,0.38461538461538464,13.0,5.0,0,0.0,0.0,0.0,0.3333333333333333,15.0,5.0,0,0.0205882894597306,1.0,1.0,1.0,0,0,0.0,0,0.003549593786951383,0,0.0,0,0,0,0.5238095238095238,21,11,1,,300,205,LHW
4544ac1a-7fd3-4e44-a48f-823c9d412397,1c7a5110-8314-4ed7-a014-ca349fe91f1a,2010-12-04T05:00:00.000+0000,0.6666666666666666,9.0,6.0,0.5555555555555556,18.0,10.0,0.47368421052631576,19.0,9.0,0,0.0,0.0,0.0,0.4444444444444444,27.0,12.0,0,0.04577628533858144,1.0,1.0,1.0,1,0,0.0,0,0.027220680661448973,0,0.3333333333333333,3,1,0,0.6933333333333334,75,52,53278852bcd91e11,0,0.75,4.0,3.0,0.8571428571428571,7.0,6.0,0.2,25.0,5.0,0,1.0,2.0,2.0,0.3103448275862069,29.0,9.0,0,0.12828156868793733,1.0,1.0,1.0,0,0,0.0,0,0.005792044432327909,0,0.0,1,0,0,0.4166666666666667,36,15,2,,300,205,LHW
ee990494-1f04-4dfc-8679-92049dff1f3a,1c7a5110-8314-4ed7-a014-ca349fe91f1a,2010-12-04T05:00:00.000+0000,0.875,8.0,7.0,0.0,0.0,0.0,0.5,2.0,1.0,0,0.6470588235294118,17.0,11.0,0.4,10.0,4.0,0,0.06350912595503497,1.0,1.0,1.0,3,0,0.0,0,0.013623189551218658,0,1.0,1,1,0,0.8271604938271605,81,67,53278852bcd91e11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666666,3.0,2.0,0.6666666666666666,3.0,2.0,0,0.024602000575097652,0.0,0.0,0.0,0,1,0.0,0,0.0006133850143577671,0,0.0,0,0,0,0.875,16,14,3,,300,205,LHW
01826d84-7b32-4df6-a8c4-8aa044dfad8d,1c7a5110-8314-4ed7-a014-ca349fe91f1a,2010-12-04T05:00:00.000+0000,1.0,2.0,2.0,0.6,5.0,3.0,0.38461538461538464,13.0,5.0,0,0.0,0.0,0.0,0.3333333333333333,15.0,5.0,0,0.0205882894597306,1.0,1.0,1.0,0,0,0.0,0,0.003549593786951383,0,0.0,0,0,0,0.5238095238095238,21,11,c6a33ff198aaaeeb,0,0.9090909090909091,11.0,10.0,0.75,8.0,6.0,0.0,7.0,0.0,0,0.7777777777777778,9.0,7.0,0.23076923076923078,13.0,3.0,0,0.04881793943790115,0.0,0.0,0.0,3,1,0.0,1,0.9438103430258804,0,1.0,1,1,0,0.6511627906976745,43,28,1,,300,205,LHW
5752a58d-e405-42ad-821e-be54982aedaa,1c7a5110-8314-4ed7-a014-ca349fe91f1a,2010-12-04T05:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666666,3.0,2.0,0.6666666666666666,3.0,2.0,0,0.024602000575097652,0.0,0.0,0.0,0,1,0.0,0,0.0006133850143577671,0,0.0,0,0,0,0.875,16,14,c6a33ff198aaaeeb,0,0.875,8.0,7.0,0.0,0.0,0.0,0.5,2.0,1.0,0,0.6470588235294118,17.0,11.0,0.4,10.0,4.0,0,0.06350912595503497,1.0,1.0,1.0,3,0,0.0,0,0.013623189551218658,0,1.0,1,1,0,0.8271604938271605,81,67,3,,300,205,LHW
bd0a9f2a-80c6-4819-ae52-bd423711f8ed,1c7a5110-8314-4ed7-a014-ca349fe91f1a,2010-12-04T05:00:00.000+0000,0.75,4.0,3.0,0.8571428571428571,7.0,6.0,0.2,25.0,5.0,0,1.0,2.0,2.0,0.3103448275862069,29.0,9.0,0,0.12828156868793733,1.0,1.0,1.0,0,0,0.0,0,0.005792044432327909,0,0.0,1,0,0,0.4166666666666667,36,15,c6a33ff198aaaeeb,0,0.6666666666666666,9.0,6.0,0.5555555555555556,18.0,10.0,0.47368421052631576,19.0,9.0,0,0.0,0.0,0.0,0.4444444444444444,27.0,12.0,0,0.04577628533858144,1.0,1.0,1.0,1,0,0.0,0,0.027220680661448973,0,0.3333333333333333,3,1,0,0.6933333333333334,75,52,2,,300,205,LHW
bacb9aaa-140a-45ff-8406-3780a61c2896,b4ab6404-3691-4bb5-9ac5-7ab3da26a739,2010-12-04T05:00:00.000+0000,0.0,0.0,0.0,0.3333333333333333,3.0,1.0,0.23076923076923078,26.0,6.0,0,0.0,0.0,0.0,0.2413793103448276,29.0,7.0,0,0.022220749730659604,0.0,0.0,0.0,0,0,0.0,0,0.010601422297348347,0,0.0,7,0,0,0.2413793103448276,29,7,511e82663651438d,0,0.6666666666666666,3.0,2.0,0.875,8.0,7.0,0.4166666666666667,36.0,15.0,0,0.4,5.0,2.0,0.42857142857142855,42.0,18.0,1,0.9124396255767654,1.0,4.0,4.0,0,0,0.0,0,0.03149981465791208,0,0.0,1,0,0,0.5,50,25,1,,300,155,LW
75755670-245c-4f20-a64a-496b913ce59a,b4ab6404-3691-4bb5-9ac5-7ab3da26a739,2010-12-04T05:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.75,20.0,15.0,0.6818181818181818,22.0,15.0,0,0.3485442508044278,0.0,0.0,0.0,1,0,0.0,0,0.03308921741620394,0,0.3333333333333333,3,1,0,0.8,40,32,511e82663651438d,0,0.0,0.0,0.0,1.0,3.0,3.0,0.2,5.0,1.0,0,0.0,0.0,0.0,0.5,8.0,4.0,0,0.0010234279302198791,0.0,0.0,0.0,0,0,0.0,0,0.0017996105757580323,0,0.0,0,0,0,0.6666666666666666,12,8,2,,300,155,LW
1a3136b6-df05-4876-a1a9-97d632ae6a1a,b4ab6404-3691-4bb5-9ac5-7ab3da26a739,2010-12-04T05:00:00.000+0000,0.0,0.0,0.0,1.0,1.0,1.0,0.5,2.0,1.0,0,0.6153846153846154,13.0,8.0,0.625,16.0,10.0,0,0.2039897985827273,0.0,0.0,0.0,3,0,0.0,0,0.05565670790141265,0,0.6666666666666666,3,2,0,0.6923076923076923,26,18,511e82663651438d,0,0.0,0.0,0.0,0.0,2.0,0.0,0.6666666666666666,3.0,2.0,0,0.0,0.0,0.0,0.4,5.0,2.0,0,0.0019200309354345873,0.0,0.0,0.0,0,1,0.0,0,0.0013288933556412873,0,0.0,0,0,0,0.625,8,5,3,,300,155,LW
0a085cda-26de-4243-8c90-df0db9ded13d,b4ab6404-3691-4bb5-9ac5-7ab3da26a739,2010-12-04T05:00:00.000+0000,0.0,0.0,0.0,1.0,3.0,3.0,0.2,5.0,1.0,0,0.0,0.0,0.0,0.5,8.0,4.0,0,0.0010234279302198791,0.0,0.0,0.0,0,0,0.0,0,0.0017996105757580323,0,0.0,0,0,0,0.6666666666666666,12,8,b0a6124751a56bc4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.75,20.0,15.0,0.6818181818181818,22.0,15.0,0,0.3485442508044278,0.0,0.0,0.0,1,0,0.0,0,0.03308921741620394,0,0.3333333333333333,3,1,0,0.8,40,32,2,,300,155,LW
