,average,average_rank,bet_intercept,conf_diff_lin,conf_diff_quad,diff_ceiling,diff_floor,gross,gross_rank,model_id,num_fight_lin,num_fight_quad,prev_fight_ceiling,prev_fight_floor,standard_wager,tot_val_rank,total_rank,val_average,val_average_rank,val_gross,val_gross_rank
051f8a30-ec66-4e89-96b9-6726796ae33f,55.77317377703017,97.08,0.36644819331301925,0.49987459914907884,0.499997385891688,0.20711114952943552,0.0017000770266100138,780.8244328784224,100.0,051f8a30-ec66-4e89-96b9-6726796ae33f,0,0,99,4,1,131.76321709786276,197.07999999999998,23.134775542935934,71.8363329583802,439.5607353157827,59.92688413948257
94b8eb36-4217-4e62-8e2e-5f75c0c9f3fe,55.772332999055145,97.07,0.3648096376816764,0.4999494635738622,0.4999892142633921,0.20628196974510243,0.00349530502504991,780.812661986772,99.99,94b8eb36-4217-4e62-8e2e-5f75c0c9f3fe,0,0,99,4,1,131.69291338582678,197.06,23.134325560040434,71.79415073115861,439.55218564076824,59.89876265466817
960d2344-9ad4-49a9-ab03-4f4ef5b70e08,55.77137341101679,97.06,0.3996260704187105,0.4998780939535905,0.49992640181951975,0.2110057168908725,0.004242457496868808,780.7992277542351,99.98,960d2344-9ad4-49a9-ab03-4f4ef5b70e08,0,0,99,4,1,132.39595050618672,197.04000000000002,24.353500111131485,78.82452193475815,438.36300200036675,53.57142857142857
7c390790-6944-4322-bb8f-06ce4ec68a5d,55.77021752266298,97.05,0.35047119399402893,0.4998328363943279,0.49999748553408085,0.210052955139197,0.0027289125301962827,780.7830453172818,99.97,7c390790-6944-4322-bb8f-06ce4ec68a5d,0,0,99,4,1,131.4538807649044,197.01999999999998,23.132088156895197,71.63948256467941,439.50967498100874,59.81439820022497
223c2500-5836-4d43-b363-04a54f3985d0,55.76995063524741,97.04,0.35123489148040143,0.4996989640765068,0.4999991022972359,0.21070624444714425,0.00195137359321735,780.7793088934637,99.96,223c2500-5836-4d43-b363-04a54f3985d0,0,0,99,4,1,131.4116985376828,197.0,23.131971484919635,71.61136107986502,439.50745821347306,59.800337457817776
1a26d61c-7bd3-44e2-880d-c6004c3b1260,55.76962744211227,97.03,0.360730338304122,0.49946456245668364,0.4999899900756547,0.2077906725027102,0.004181308343506782,780.7747841895717,99.95,1a26d61c-7bd3-44e2-880d-c6004c3b1260,0,0,99,4,1,132.24128233970754,196.98000000000002,24.35296804382672,78.79640044994376,438.35342478888094,53.44488188976378
8a47dcce-8029-4989-aab0-7740633ea38f,55.76943606702424,97.02,0.35967666176219637,0.49990308966344593,0.4999723892299084,0.205348002560045,0.0036156567029890715,780.7721049383393,99.94,8a47dcce-8029-4989-aab0-7740633ea38f,0,0,99,4,1,132.29752530933632,196.95999999999998,24.353147580411516,78.81046119235096,438.3566564474073,53.48706411698538
fc153eb0-3d21-4c5b-a4fb-4cbffaf50554,55.76891248958311,97.01,0.36349788503769587,0.49987043803982706,0.4999625835456,0.20955381441083737,0.0033262111154319872,780.7647748541635,99.93,fc153eb0-3d21-4c5b-a4fb-4cbffaf50554,0,0,99,4,1,131.51012373453318,196.94,23.132761564117658,71.66760404949382,439.5224697182355,59.84251968503937
0c7c1293-72f1-4776-838c-d2dd089f53b4,55.76844232428949,97.0,0.377137543099253,0.49974399518792123,0.49994103360926795,0.20830786919757008,0.0026059580784623913,780.7581925400528,99.92,0c7c1293-72f1-4776-838c-d2dd089f53b4,0,0,99,4,1,131.65073115860517,196.92000000000002,23.133737894878745,71.7660292463442,439.54102000269614,59.884701912260965
a76d4411-4c6a-48ed-b1f6-79416b07f845,55.76835792053908,96.99,0.3679436829245066,0.49972512022730664,0.49995597529165897,0.2097939529717584,0.002846594403248266,780.7570108875472,99.91,a76d4411-4c6a-48ed-b1f6-79416b07f845,0,0,99,4,1,131.55230596175477,196.89999999999998,23.132855751654848,71.69572553430821,439.52425928144214,59.856580427446566
4e1c4251-de3d-4bc7-aafd-519ef0a0939a,55.76834032635556,96.98,0.37087827542170715,0.4999624097809326,0.4999415451937916,0.21276098916255876,0.0055954182392820885,780.7567645689779,99.9,4e1c4251-de3d-4bc7-aafd-519ef0a0939a,0,0,99,4,1,192.15410573678292,196.88,38.12693055187832,94.03824521934759,724.4116804856881,98.11586051743532
b63dd2aa-9e5e-46eb-a336-9c0788dc0c52,55.767489492138644,96.97,0.4687091000259054,0.49981649111121895,0.4997800903668505,0.20781594389226676,0.004394239109342361,780.7448528899411,99.89,b63dd2aa-9e5e-46eb-a336-9c0788dc0c52,0,0,99,4,1,132.05849268841396,196.86,24.350976692867622,78.78233970753656,438.3175804716172,53.27615298087739
a687e91a-e9c1-4b8f-bbd8-769f00680e88,55.76717300109016,96.96,0.350988325712633,0.4999847995956709,0.49996215120781207,0.205479331833083,0.0023443418492382247,780.7404220152622,99.88,a687e91a-e9c1-4b8f-bbd8-769f00680e88,0,0,99,4,1,131.285151856018,196.83999999999997,23.13097728403462,71.51293588301462,439.4885683966578,59.77221597300338
5798e865-9b32-4f61-98f2-96a598e0c071,55.765837024482835,96.95,0.36171254659586755,0.4996673732749491,0.4999449034514412,0.2119297018760454,0.0037584712554567827,780.7217183427597,99.87,5798e865-9b32-4f61-98f2-96a598e0c071,0,0,99,4,1,192.11192350956128,196.82,38.12495559599569,94.02418447694038,724.3741563239181,98.08773903262092
d9b55564-1d3d-4c32-bd93-86f2ca8c817d,55.76573092953247,96.94,0.34529760599119663,0.4997468929955333,0.49996747086926874,0.20856206552755258,0.002518478273067123,780.7202330134545,99.86,d9b55564-1d3d-4c32-bd93-86f2ca8c817d,0,0,99,4,1,131.0320584926884,196.8,23.12973262563124,71.33014623172103,439.4649198869936,59.701912260967376
