,defGrapplingEloPost,defStrikeEloPost,name,offGrapplingEloPost,offStrikeEloPost,total
25910112-c77b-47c0-94db-fb9c76b6625f,4.444444444444445,12.592592592592593,Yves Edwards,68.39506172839506,84.44444444444444,35.48951048951049
05e8d1e3-9ebe-417c-ae1a-9f6a15aa34f3,0.24691358024691357,51.851851851851855,Melvin Guillard,1.728395061728395,99.50617283950618,23.076923076923077
e2e03e74-48e7-436d-bf85-890ce97e687d,44.19753086419753,55.80246913580247,Kenny Florian,99.50617283950618,81.48148148148148,89.5104895104895
91c06b46-f53b-4656-b73f-be99044fff7a,13.580246913580247,6.172839506172839,Sam Stout,0.9876543209876543,27.160493827160494,0.6993006993006993
efc38411-acad-4d22-93d4-192eada4730f,16.54320987654321,42.71604938271605,Spencer Fisher,81.72839506172839,63.7037037037037,58.04195804195804
4b09252b-ed43-4ac2-aa2d-a783672cd4ce,24.938271604938272,58.76543209876543,Danny Abbadi,40.49382716049383,37.03703703703704,27.622377622377623
5a50ec0d-b164-44d0-af5c-428c47cf9008,38.76543209876543,89.87654320987654,Jorge Gurgel,5.925925925925926,3.2098765432098766,11.888111888111888
2bc5b39b-2c5c-4d8b-b3e4-d4363c452a23,6.666666666666667,43.45679012345679,David Lee,43.7037037037037,46.41975308641975,13.986013986013987
1a0a3042-5f92-499a-9396-85255ff5dfdd,94.81481481481481,47.407407407407405,Tyson Griffin,67.4074074074074,67.4074074074074,88.1118881118881
7cbfd85b-3b8a-4efd-bd94-ef4ac9d0e8b8,28.395061728395063,59.75308641975309,Jason Dent,68.64197530864197,12.098765432098766,34.09090909090909
15fa3188-24d8-458f-864b-c99bccae67d5,5.185185185185185,15.308641975308642,Jamie Varner,70.37037037037037,89.1358024691358,41.78321678321678
0c8fc449-62a6-4749-8618-d4b80d45fafb,16.296296296296298,22.469135802469136,Jens Pulver,51.60493827160494,40.74074074074074,10.48951048951049
c94ffd45-60e7-4961-8c37-de7305e82848,40.74074074074074,3.45679012345679,Gabe Ruediger,33.82716049382716,30.37037037037037,5.944055944055944
565ad540-828a-4b1e-9e6d-ff05594d6db9,44.44444444444444,94.5679012345679,Roger Huerta,73.82716049382717,87.1604938271605,93.7062937062937
d6f3e6d6-97d8-4868-b37e-d64a15b9e90a,44.93827160493827,31.85185185185185,Hermes Franca,92.8395061728395,2.7160493827160495,37.76223776223776
72ec11ef-fcd5-4c3f-b57f-81d0ad3c2113,33.333333333333336,71.11111111111111,Din Thomas,88.88888888888889,10.123456790123457,55.59440559440559
7a8df7f0-1170-427c-8b09-dee41cb2c865,28.88888888888889,24.444444444444443,Dan Lauzon,37.28395061728395,70.12345679012346,27.272727272727273
44730a69-527f-4d61-9f00-e54c14e5afa8,13.333333333333334,97.53086419753086,Kurt Pellegrino,96.54320987654322,63.20987654320987,85.31468531468532
01f1a305-1bed-4cb1-aeb3-058026ffa4ce,10.864197530864198,64.93827160493827,Dokonjonosuke Mishima,62.96296296296296,35.30864197530864,38.81118881118881
fb0f843c-5db8-408f-9bca-7dd1e2d39db0,0.49382716049382713,17.530864197530864,Clay Guida,86.17283950617283,65.4320987654321,34.96503496503497
69da97fd-f896-4bdc-bd9d-ebde68d82957,99.01234567901234,98.76543209876543,Frankie Edgar,66.41975308641975,69.87654320987654,97.55244755244755
88f68484-b598-417b-ade0-233f7033113b,65.4320987654321,22.22222222222222,John Halverson,42.71604938271605,38.51851851851852,34.09090909090909
962fbfec-6503-4498-a46a-d445953dca54,7.407407407407407,44.44444444444444,Junior Assuncao,80.98765432098766,68.64197530864197,53.84615384615385
cbbbb5a1-76c5-49b9-a91c-7095b634e256,2.2222222222222223,92.09876543209876,Rich Clementi,94.07407407407408,1.728395061728395,45.97902097902098
693e34fb-7875-403d-91b3-04d0a4d233a0,78.51851851851852,53.82716049382716,Diego Saraiva,65.4320987654321,12.345679012345679,63.11188811188811
a2e96b6a-6231-4e84-bb38-cd11466a777f,10.617283950617283,3.7037037037037037,Dustin Hazelett,98.0246913580247,65.18518518518519,40.20979020979021
49c4bcb0-afdc-4f0c-b852-2af1f9768c61,67.4074074074074,73.08641975308642,Doug Evans,37.53086419753087,31.604938271604937,61.88811188811189
ed25fcc9-bf4e-4a33-b531-b7e29e4b7258,99.25925925925925,55.30864197530864,Nate Diaz,97.77777777777777,95.55555555555556,98.6013986013986
04026db8-f8e1-4b2a-b5ce-d3172658265f,7.160493827160494,60.24691358024691,Jeff Cox,57.53086419753087,51.111111111111114,39.51048951048951
f28bc505-5b75-47f0-87b6-eef5b0016a61,17.037037037037038,20.0,Gleison Tibau,96.04938271604938,17.28395061728395,20.27972027972028
0cf77590-7218-4e7d-ac3f-dc0b7c3d56ea,48.641975308641975,13.82716049382716,BJ Penn,84.93827160493827,65.67901234567901,65.73426573426573
e8d6a341-ad1d-4723-aec0-0ed548e727a5,64.44444444444444,59.50617283950617,Luke Caudillo,38.02469135802469,36.04938271604938,50.34965034965035
f3349d71-a2b8-4d2f-8546-e93b9eba444c,99.50617283950618,0.7407407407407407,Gray Maynard,1.2345679012345678,4.444444444444445,4.195804195804196
f940bd02-0de2-4827-ae67-7af2652d8ccc,30.617283950617285,10.37037037037037,Naoyuki Kotani,13.82716049382716,6.666666666666667,1.048951048951049
22ebc3c4-baec-4cf6-ac52-7d4afa6997ee,8.88888888888889,31.604938271604937,Nate Mohr,23.209876543209877,18.51851851851852,2.097902097902098
24383123-d975-4076-8577-5b0891215c43,41.23456790123457,38.76543209876543,Terry Etim,96.79012345679013,83.45679012345678,81.11888111888112
