,average,average_rank,bet_ceiling,bet_female,bet_intercept,conf_diff_lin,conf_diff_quad,diff_ceiling,diff_floor,gross,gross_rank,model_id,num_fight_lin,num_fight_quad,prev_fight_ceiling,prev_fight_floor,standard_wager,tot_val_rank,total_rank,val_average,val_average_rank,val_gross,val_gross_rank
5d7b0180-00a8-46d2-80c2-7128eef88b6f,45.55395586598395,94.3452380952381,200,False,-0.45453110435683997,0.00017411370479434047,0.49969840396851184,0.27058445815229687,0.001007140591086421,728.8632938557432,100.0,5d7b0180-00a8-46d2-80c2-7128eef88b6f,0,0,99,4,1,130.0982800982801,194.3452380952381,0.3302229954888537,63.75921375921376,10.236912860154465,66.33906633906633
3209e4c5-db2f-4779-a588-c3b83d27579e,45.553150598441015,94.24603174603175,200,False,-0.4508769038418659,6.188075755716908e-05,0.4988231233598195,0.24843260798628256,0.0020247540096392687,728.8504095750562,99.90079365079364,3209e4c5-db2f-4779-a588-c3b83d27579e,0,0,99,4,1,126.04422604422604,194.1468253968254,0.32961791264510576,61.91646191646192,10.21815529199828,64.12776412776412
b294ecc9-9dba-4f99-8522-7c9b858915e6,45.55169853487196,94.14682539682539,200,False,-0.45549166570945043,6.3979843394866565e-06,0.48387850887265704,0.2616660363440775,0.0012205325845617827,728.8271765579514,99.8015873015873,b294ecc9-9dba-4f99-8522-7c9b858915e6,0,0,99,4,1,103.80835380835381,193.9484126984127,0.3199479733684311,49.631449631449634,9.918387174421365,54.17690417690417
bf59a4eb-4832-41f7-9ec5-b81979f2c58b,45.551276924972484,94.04761904761905,200,False,-0.4610510501079311,0.0005966072793240595,0.4776753804445432,0.27868341460179424,0.0005535381714338429,728.8204307995597,99.70238095238095,bf59a4eb-4832-41f7-9ec5-b81979f2c58b,0,0,99,4,1,88.82063882063882,193.75,0.31594584911964596,42.75184275184275,9.794321322709024,46.06879606879607
5bc723d2-8635-4fe4-a7be-d621dc7b9b37,45.551195839863304,93.9484126984127,200,False,-0.44243327343638605,0.0003280926696888598,0.49925588839348367,0.261561917880811,0.0021541124753527902,728.8191334378129,99.60317460317461,5bc723d2-8635-4fe4-a7be-d621dc7b9b37,0,0,99,4,1,131.0810810810811,193.5515873015873,0.340785452614289,66.21621621621621,10.22356357842867,64.86486486486487
411b8ca9-efaf-4f4f-a57c-1e5fd7c6c821,45.551189433124534,93.84920634920636,200,False,-0.44355743038700457,0.0005072937924952858,0.4988222230607388,0.2546825688440942,0.001996755463694961,728.8190309299926,99.50396825396825,411b8ca9-efaf-4f4f-a57c-1e5fd7c6c821,0,0,99,4,1,125.18427518427518,193.3531746031746,0.3295142544184048,61.42506142506142,10.21494188697055,63.75921375921376
d2a597ee-01a5-49a3-89ad-d85b5101e6ab,45.55092834826142,93.75,200,False,-0.4404814960375353,0.00013266404432596976,0.4989913328301984,0.25801660050276476,0.0016659659056640795,728.8148535721828,99.4047619047619,d2a597ee-01a5-49a3-89ad-d85b5101e6ab,0,0,99,4,1,125.79852579852579,193.1547619047619,0.3296076828605925,61.793611793611795,10.217838168678368,64.004914004914
eb97210f-f0c9-40a1-afac-e4ccb1f65782,45.55060782325043,93.65079365079364,200,False,-0.45397562420826865,4.821240922902082e-05,0.4794529996761611,0.267619227233203,0.001355937823170199,728.8097251720069,99.30555555555556,eb97210f-f0c9-40a1-afac-e4ccb1f65782,0,0,99,4,1,91.27764127764127,192.95634920634922,0.3170494171374151,43.73464373464373,9.828531931259867,47.54299754299754
90b96711-6ee3-4f7f-9acd-06815a802eef,45.55040240101815,93.5515873015873,200,False,-0.4376868707911112,0.00011668863395045422,0.4992669053326573,0.2726171447792114,0.0012982701782588537,728.8064384162903,99.2063492063492,90b96711-6ee3-4f7f-9acd-06815a802eef,0,0,99,4,1,127.14987714987716,192.7579365079365,0.32975648316411343,62.40786240786241,10.222450978087517,64.74201474201475
217b58ff-4f0e-45c4-bf14-8aaf4cd64119,45.55027805650921,93.45238095238095,200,False,-0.49962386847094564,0.011028360246162165,0.4827282617894757,0.251593551054712,0.002004795128311792,728.8044489041473,99.10714285714286,217b58ff-4f0e-45c4-bf14-8aaf4cd64119,0,0,99,4,1,100.61425061425061,192.5595238095238,0.3191693807945814,48.157248157248155,9.894250804632023,52.45700245700246
38261109-ddf7-4b5a-a484-455aa47642a6,45.55024669136424,93.35317460317461,200,False,-0.46090116566864453,9.891617502399351e-05,0.46877860888271994,0.2504775131926781,0.0017639649371280054,728.8039470618278,99.0079365079365,38261109-ddf7-4b5a-a484-455aa47642a6,0,0,99,4,1,80.22113022113022,192.36111111111111,0.3101788493687049,38.32923832923833,9.61554433042985,41.891891891891895
4977c1d2-623c-4314-9df8-55e4b27beec6,45.54921416259166,93.25396825396825,200,False,-0.43301923614409704,0.0004524706477502437,0.4999409512367569,0.26623585465632343,0.0011659070874946431,728.7874266014666,98.90873015873017,4977c1d2-623c-4314-9df8-55e4b27beec6,0,0,99,4,1,129.23832923832924,192.16269841269843,0.33012688461770134,63.26781326781327,10.233933423148741,65.97051597051598
5eaab053-6aa0-4adc-8631-33bb2db4a5e4,45.548143972323935,93.1547619047619,200,False,-0.4607896482286305,0.0001725551507618395,0.4566410801832658,0.2730123356411878,0.0007417783358282126,728.770303557183,98.80952380952381,5eaab053-6aa0-4adc-8631-33bb2db4a5e4,0,0,99,4,1,59.21375921375922,191.96428571428572,0.30227641291581897,28.37837837837838,9.370568800390387,30.835380835380835
