,average,average_rank,bet_ceiling,bet_female,bet_intercept,conf_diff_lin,conf_diff_quad,diff_ceiling,diff_floor,gross,gross_rank,model_id,num_fight_lin,num_fight_quad,prev_fight_ceiling,prev_fight_floor,standard_wager,tot_val_rank,total_rank,val_average,val_average_rank,val_gross,val_gross_rank
269965f9-87c7-4c8d-aea9-85ce84f3cba2,24.39058890063078,84.18,194,False,0.21605144215455543,0.04413145182536809,0.18163221423330242,0.13767315521822437,0.002367267032877082,1121.967089429016,99.92,269965f9-87c7-4c8d-aea9-85ce84f3cba2,0.2821803367349831,0.15155658987460335,99,3,1,70.84033613445378,184.10000000000002,3.949757081830458,35.96638655462185,177.7390686823706,34.87394957983193
16ead8c2-5d34-437a-ab04-74500e7003b1,24.25245111755217,83.84,193,False,0.23217320541594616,0.06287338683379975,0.1911378724825074,0.13776393104279647,0.00215222575388272,1115.6127514073999,99.88,16ead8c2-5d34-437a-ab04-74500e7003b1,0.28072482138761146,0.15146082338490163,99,3,1,64.2016806722689,183.72,3.8057428434907683,32.52100840336134,171.25842795708456,31.680672268907564
528abb97-4d56-4392-a699-010614768288,24.120474301309827,83.64,194,False,0.226370555777359,0.04714616979582351,0.162485530936907,0.13789962605290879,0.0023941078673791346,1109.541817860252,99.86,528abb97-4d56-4392-a699-010614768288,0.261151305366694,0.156178149111894,99,3,1,95.71428571428572,183.5,4.471512719557944,47.226890756302524,201.21807238010746,48.48739495798319
505c9aa9-134c-4533-bbf9-1ec33c3a131b,24.086884745985873,83.58,193,False,0.179601035857039,0.047583705045352,0.17401551302765383,0.1377946905006071,0.002173143831967658,1107.9966983153502,99.84,505c9aa9-134c-4533-bbf9-1ec33c3a131b,0.2716470824932078,0.15382057636086643,99,3,1,84.03361344537815,183.42000000000002,4.200586877026982,42.016806722689076,189.0264094662142,42.016806722689076
d7506d88-5024-46c6-a06f-b0abd337d7a8,23.998074121476776,83.44,192,False,0.2923414521025087,0.0922242293121957,0.2743647098610378,0.13804604839489143,0.0015898636826149036,1103.9114095879318,99.8,d7506d88-5024-46c6-a06f-b0abd337d7a8,0.29255036104226817,0.1585428244057108,99,3,1,48.0672268907563,183.24,3.2637105671547966,23.69747899159664,150.13068608912064,24.369747899159663
29963685-0438-4280-b0af-7c3485d6e316,23.878627624316827,83.28,192,False,0.2189723063987751,0.09285463058592923,0.23394916680296562,0.13820788051909147,0.0017598103222627754,1098.416870718574,99.76,29963685-0438-4280-b0af-7c3485d6e316,0.2664872777651133,0.15974146880573534,99,3,1,67.47899159663865,183.04000000000002,3.8376723330272817,33.36134453781513,176.53292731925495,34.11764705882353
d66f96d5-591a-4ca8-8014-5577851d85fc,23.807778023988437,83.12,191,False,0.28591695682014023,0.11907856800602212,0.2550195339541225,0.13881499913099837,0.001528628812849716,1095.157789103468,99.74,d66f96d5-591a-4ca8-8014-5577851d85fc,0.2805385951321283,0.15823678892845197,99,3,1,53.78151260504202,182.86,3.4678574353953375,26.638655462184875,159.52144202818553,27.142857142857142
afa86fbe-c527-4f9d-800e-ca116ef39816,23.804597693038726,83.08,191,False,0.2153743379891923,0.08791690275380873,0.21506992641525602,0.13761507235004372,0.00147862698002115,1095.0114938797815,99.72,afa86fbe-c527-4f9d-800e-ca116ef39816,0.2568860936643197,0.15674957412429918,99,3,1,70.7563025210084,182.8,3.9068629870288136,34.621848739495796,179.71569740332544,36.134453781512605
279e6c25-8014-4374-a84f-3f4400696a58,23.66443560840387,82.9,193,False,0.21667032344043197,0.07892586297782278,0.22350813175571574,0.1378240549041617,0.0017977535986249172,1088.5640379865781,99.7,279e6c25-8014-4374-a84f-3f4400696a58,0.2791570342738209,0.16605640318071874,99,3,1,94.87394957983193,182.60000000000002,4.402014997050616,46.05042016806723,202.49268986432833,48.8235294117647
c24aa6e6-2eda-4a35-ba9e-7fb6f729b7c4,23.461550923908828,82.64,189,False,0.22510857623408373,0.08038473651214349,0.18484223960663435,0.13798247707584144,0.0020917804524185997,1079.231342499806,99.66,c24aa6e6-2eda-4a35-ba9e-7fb6f729b7c4,0.24954366425518418,0.15479677873748082,99,3,1,87.39495798319328,182.3,4.219508056448205,42.6890756302521,194.0973705966174,44.705882352941174
